check	status	detail
environment_A020	PASS	environment/Python_environment.txt
script_A021	PASS	scripts/06_clinical/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/03_score_and_join.R
environment_A021	PASS	environment/R_environment.txt
script_A022	PASS	scripts/06_clinical/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/04_summarize_and_verify.py
environment_A022	PASS	environment/Python_environment.txt
script_A023	PASS	scripts/03_AF35_measurement/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/00_initialize.py
environment_A023	PASS	environment/Python_environment.txt
script_A024	PASS	scripts/03_AF35_measurement/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py
environment_A024	PASS	environment/Python_environment.txt
script_A025	PASS	scripts/06_clinical/CLINICAL_ANCHOR_READOUT_DECOMPOSITION_v1/scripts/03_paired_and_firth.R
environment_A025	PASS	environment/R_environment.txt
script_A026	PASS	scripts/04_clonotype/GSE235863_CLONE_STATE_DECOMPOSITION_v1/authority/04_scripts/phase19/02_phase19a_patient_analysis.py
environment_A026	PASS	environment/Python_environment.txt
script_A027	PASS	scripts/04_clonotype/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/01_authority.py
environment_A027	PASS	environment/Python_environment.txt
script_A028	PASS	scripts/04_clonotype/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/02_analyze.py
environment_A028	PASS	environment/Python_environment.txt
script_A029	PASS	scripts/05_spatial/HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/audit/wu_bounded_sensitivity.R
environment_A029	PASS	environment/R_environment.txt
script_A030	PASS	scripts/05_spatial/HCC_ICI_BIOLOGICAL_RESOLUTION_BR1_v1/scripts/module_d_prepare_spatial_tables.R
environment_A030	PASS	environment/R_environment.txt
script_A031	PASS	scripts/01_anchor_selection/HCC_ICI_project/04_scripts/04_target_ranking/01_finalize_target_evidence.R
environment_A031	PASS	environment/R_environment.txt
script_A032	PASS	scripts/02_state_architecture/HCC_ICI_project/04_scripts/config.R
environment_A032	PASS	environment/R_environment.txt
script_A033	PASS	scripts/04_clonotype/HCC_ICI_project/04_scripts/final_harmonization/01_meta_clone_compartment.R
environment_A033	PASS	environment/R_environment.txt
script_A034	PASS	scripts/06_clinical/HCC_ICI_project/04_scripts/phase15b_public_replication/01_prepare_response_blind_inputs.R
environment_A034	PASS	environment/R_environment.txt
script_A035	PASS	scripts/06_clinical/HCC_ICI_project/04_scripts/phase15b_public_replication/02_lock_outcome_maps.R
environment_A035	PASS	environment/R_environment.txt
script_A036	PASS	scripts/06_clinical/HCC_ICI_project/04_scripts/phase15b_public_replication/03_analyze_public_replication.R
environment_A036	PASS	environment/R_environment.txt
script_A037	PASS	scripts/06_clinical/HCC_ICI_project/04_scripts/phase15c_public_benchmark/01_run_phase15c_benchmark.R
environment_A037	PASS	environment/R_environment.txt
script_A038	PASS	scripts/06_clinical/HCC_ICI_project/04_scripts/phase19/03_phase19b_response_blind_scoring.R
environment_A038	PASS	environment/R_environment.txt
script_A039	PASS	scripts/06_clinical/HCC_ICI_project/04_scripts/phase19/04_phase19b_freeze_response_blind_tables.py
environment_A039	PASS	environment/Python_environment.txt
script_A040	PASS	scripts/06_clinical/HCC_ICI_project/04_scripts/phase19/05_phase19b_outcome_analysis.R
environment_A040	PASS	environment/R_environment.txt
script_A041	PASS	scripts/02_state_architecture/HCC_ICI_project/04_scripts/phase2/07_functional_program_GSE206325.R
environment_A041	PASS	environment/R_environment.txt
script_A042	PASS	scripts/04_clonotype/HCC_ICI_project/04_scripts/phase3/03_independent_scrna_sctcr_clone_state.R
environment_A042	PASS	environment/R_environment.txt
script_A043	PASS	scripts/04_clonotype/HCC_ICI_project/04_scripts/phase_temporal/01_gse235863_baseline_future_clone_fate.R
environment_A043	PASS	environment/R_environment.txt
script_A044	PASS	scripts/06_clinical/HCC_ICI_project/04_scripts/pretreatment_clinical_translation/01_gse104580_tace_falsification.R
environment_A044	PASS	environment/R_environment.txt
script_A045	PASS	scripts/05_spatial/HCC_ICI_project/04_scripts/spatial_specificity_rescue/01_spatial_specificity_rescue.R
environment_A045	PASS	environment/R_environment.txt
script_A046	PASS	scripts/02_state_architecture/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/01_source_audit.py
environment_A046	PASS	environment/Python_environment.txt
script_A047	PASS	scripts/02_state_architecture/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/05_run_analysis.py
environment_A047	PASS	environment/Python_environment.txt
script_A048	PASS	scripts/02_state_architecture/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/coupling_math.py
environment_A048	PASS	environment/Python_environment.txt
script_A049	PASS	scripts/07_perturbation/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/04_projection.py
environment_A049	PASS	environment/Python_environment.txt
script_A050	PASS	scripts/07_perturbation/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/common.py
environment_A050	PASS	environment/Python_environment.txt
script_A051	PASS	scripts/07_perturbation/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase0_v1/scripts/02_build_phase0_audits.py
environment_A051	PASS	environment/Python_environment.txt
script_A052	PASS	scripts/07_perturbation/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/02_execute_fixed_analysis.py
environment_A052	PASS	environment/Python_environment.txt
script_A053	PASS	scripts/07_perturbation/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/03_independent_numeric_qa.py
environment_A053	PASS	environment/Python_environment.txt
script_A054	PASS	scripts/02_state_architecture/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/00_reuse_sources.py
environment_A054	PASS	environment/Python_environment.txt
script_A055	PASS	scripts/02_state_architecture/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/02_analyze.py
environment_A055	PASS	environment/Python_environment.txt
script_A056	PASS	scripts/02_state_architecture/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/coupling_math.py
environment_A056	PASS	environment/Python_environment.txt
script_A057	PASS	scripts/05_spatial/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/00_feasibility_freeze.py
environment_A057	PASS	environment/Python_environment.txt
script_A058	PASS	scripts/05_spatial/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/01_topology.py
environment_A058	PASS	environment/Python_environment.txt
script_A059	PASS	scripts/05_spatial/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/common.py
environment_A059	PASS	environment/Python_environment.txt
README_link	PASS	PUBLIC_REPOSITORY_RELEASE_GATE.md
README_link	PASS	docs/ANALYSIS_ORDER.md
README_link	PASS	provenance/CURRENT_ANALYSIS_ENTRYPOINTS.tsv
README_link	PASS	config/AF35_genes.txt
README_link	PASS	docs/AF35_DEFINITION.md
README_link	PASS	docs/AF35_PROVENANCE.md
README_link	PASS	data/SOURCE_DATA_MANIFEST.tsv
README_link	PASS	data/DOWNLOAD_INSTRUCTIONS.md
README_link	PASS	docs/REPRODUCIBILITY_NOTES.md
README_link	PASS	environment/R_environment.txt
README_link	PASS	environment/Python_environment.txt
README_link	PASS	derived_data/manifests/SOURCE_TABLE_BINDINGS.tsv
README_link	PASS	release/EXCLUDED_FILES.tsv
README_link	PASS	CITATION.cff
README_link	PASS	ZENODO_METADATA_DRAFT.md
README_link	PASS	LICENSE
README_link	PASS	docs/LIMITATIONS.md
README_link	PASS	docs/REPRODUCIBILITY_NOTES.md
script_accessions	PASS	All GEO/ENA accession strings documented; short population labels excluded
relative_paths	PASS	No absolute local path or local username found
output_location_contract	PASS	README explains ignored script-created workspace; dynamic I/O closure remains blocked, not claimed PASS
CFF_schema	PASS	Official version 1.2.0 schema and format checks passed
AF35_integrity	PASS	Ordered vector verified against recovered evidence
full_raw_pipeline	NOT_RUN	Not authorized or claimed; unresolved input/protocol dependencies listed
complete_dynamic_entrypoint_closure	BLOCKED	Static expressions are documented; private provenance and historical branch dependencies remain
materialize_workspace_dry_run	PASS	Executed in isolated scratch copy; all 59 copied sources byte-identical; no biological code run
inspect_prerequisites_dry_run	PASS	Expected exit code 2 reports documented unresolved prerequisites
all_python_parse	PASS	All archived Python and three packaging utilities parse without execution
all_R_parse	PASS	19 R source files parsed with R 4.4.1; non-string expressions identical
protected_source_hashes	PASS	8844 frozen source files plus three supplied v3 authority files unchanged
README_verify_release_command	PASS	PASS: 172 payload files; 59 source entries; AF35 35/35
