file	action	change	scientific_calculations	source_sha256	public_sha256
scripts/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py	SAFE_PUBLIC	No absolute machine path	Unchanged	5313c81e2f43ed9bef7fba89d4c70c827f6a047550708b8c00d7a78a87859493	5313c81e2f43ed9bef7fba89d4c70c827f6a047550708b8c00d7a78a87859493
scripts/07_perturbation/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/04_recover_frozen_perturbation.py	SAFE_PUBLIC	No absolute machine path	Unchanged	575fb95de0c68e953a8d7c11f571754a4c51d86c50d2b933ec6b7cd266c20a59	575fb95de0c68e953a8d7c11f571754a4c51d86c50d2b933ec6b7cd266c20a59
scripts/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py	SAFE_PUBLIC	No absolute machine path	Unchanged	be7201f3ca738d5e3231aceb8a2d6d2d25cc79b9e2c96e67808f1956ba68f8a0	be7201f3ca738d5e3231aceb8a2d6d2d25cc79b9e2c96e67808f1956ba68f8a0
scripts/06_clinical/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/06_phaseB_clinical.py	SAFE_PUBLIC	No absolute machine path	Unchanged	71ab5162966df802d8a38f0a4d5d78002bcaea7c31cfdc74f41bbb38c1bedf62	71ab5162966df802d8a38f0a4d5d78002bcaea7c31cfdc74f41bbb38c1bedf62
scripts/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/07_phaseB_verify.R	SAFE_PUBLIC	No absolute machine path	Unchanged	dc919620ce34f3594075e663befaff79555cf66678ffc68a41ebef0c7b93b3ef	dc919620ce34f3594075e663befaff79555cf66678ffc68a41ebef0c7b93b3ef
scripts/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/common.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	d193294f4a1adcfd5af63eaca79831a1fb9c1fc5ce50413785c10dc9de8f8e2a	2e7395a9fb4a7d87fe15167f2ab0b62ecb619a0c0c247b562542443e03f59e98
scripts/06_clinical/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/02_freeze_matched_programs.py	SAFE_PUBLIC	No absolute machine path	Unchanged	9faea93ce3f73b985cdbec51815dd2a320928a23c60095e98eebd6264f8b2e7d	9faea93ce3f73b985cdbec51815dd2a320928a23c60095e98eebd6264f8b2e7d
scripts/06_clinical/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/03_score_and_join.R	SAFE_PUBLIC	No absolute machine path	Unchanged	2a899375a9c806c4d9658b5060c20bf36e425e0379c7dfd0eda03f3adb284aed	2a899375a9c806c4d9658b5060c20bf36e425e0379c7dfd0eda03f3adb284aed
scripts/06_clinical/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/04_summarize_and_verify.py	SAFE_PUBLIC	No absolute machine path	Unchanged	b9284fdd1be2aa73306d87a1fca59b110613e1dfff4f26d46360f972c3eacf5a	b9284fdd1be2aa73306d87a1fca59b110613e1dfff4f26d46360f972c3eacf5a
scripts/03_AF35_measurement/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/00_initialize.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	fec77133d593f8739dba6dadb3edcc489ab9bbc17f5a156fb0b12f22891012e7	de42473cd52383c7d9788d251d01db13f34a815b09b846a3a1e59b2e28bf6b81
scripts/03_AF35_measurement/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py	SAFE_PUBLIC	No absolute machine path	Unchanged	498675b944866f11ea6432b45e059feffbb78ba670d4f1173f043518a91d941b	498675b944866f11ea6432b45e059feffbb78ba670d4f1173f043518a91d941b
scripts/06_clinical/CLINICAL_ANCHOR_READOUT_DECOMPOSITION_v1/scripts/03_paired_and_firth.R	SAFE_PUBLIC	No absolute machine path	Unchanged	e2b68e6acc29ff5dc1973dd3193f22c41f8bf14b3d95a8bb83fec1857f02373c	e2b68e6acc29ff5dc1973dd3193f22c41f8bf14b3d95a8bb83fec1857f02373c
scripts/04_clonotype/GSE235863_CLONE_STATE_DECOMPOSITION_v1/authority/04_scripts/phase19/02_phase19a_patient_analysis.py	SAFE_PUBLIC	No absolute machine path	Unchanged	6a3afb8038e2456767db6499a5f700d19dc8a9f6cc7d4d26bb4b36647f801ec1	6a3afb8038e2456767db6499a5f700d19dc8a9f6cc7d4d26bb4b36647f801ec1
scripts/04_clonotype/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/01_authority.py	SAFE_PUBLIC	No absolute machine path	Unchanged	6f05d1ba21b0e386bbb4ab9ecb2fd4cf9c9cb14801ba6150105dba9f7bb9c6de	6f05d1ba21b0e386bbb4ab9ecb2fd4cf9c9cb14801ba6150105dba9f7bb9c6de
scripts/04_clonotype/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/02_analyze.py	SAFE_PUBLIC	No absolute machine path	Unchanged	740645425529abdf1ba0f18fdca5c4a16dbe214db8a74d04c95155e325cdb949	740645425529abdf1ba0f18fdca5c4a16dbe214db8a74d04c95155e325cdb949
scripts/05_spatial/HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/audit/wu_bounded_sensitivity.R	SAFE_PUBLIC	No absolute machine path	Unchanged	38db4cac79e4274243c9f49e47daf98365587116d086e76d2fc88e9f020f4672	38db4cac79e4274243c9f49e47daf98365587116d086e76d2fc88e9f020f4672
scripts/05_spatial/HCC_ICI_BIOLOGICAL_RESOLUTION_BR1_v1/scripts/module_d_prepare_spatial_tables.R	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	332997578bab611c25033c32cbb5262e98c57e35e279f8e2b880c809578b4917	c2ef6b09c65b46a62fb5a28e5e04d2e689e14fc711fbf4516e31c580ed5d8799
scripts/01_anchor_selection/HCC_ICI_project/04_scripts/04_target_ranking/01_finalize_target_evidence.R	SAFE_PUBLIC	No absolute machine path	Unchanged	cbd47727a7af09e4776546bfe8003a479debce64ec6d3ab91bc8cebbc6d6b884	cbd47727a7af09e4776546bfe8003a479debce64ec6d3ab91bc8cebbc6d6b884
scripts/02_state_architecture/HCC_ICI_project/04_scripts/config.R	SAFE_PUBLIC	No absolute machine path	Unchanged	7534a3da4b5a32ff1529c81cd859d7b8d39f1733fe6a66100017e2e1a0b3a64c	7534a3da4b5a32ff1529c81cd859d7b8d39f1733fe6a66100017e2e1a0b3a64c
scripts/04_clonotype/HCC_ICI_project/04_scripts/final_harmonization/01_meta_clone_compartment.R	SAFE_PUBLIC	No absolute machine path	Unchanged	dfb0657f69e73597197e2090c53adf6695375170bcfb918db6e92620491f169e	dfb0657f69e73597197e2090c53adf6695375170bcfb918db6e92620491f169e
scripts/06_clinical/HCC_ICI_project/04_scripts/phase15b_public_replication/01_prepare_response_blind_inputs.R	SAFE_PUBLIC	No absolute machine path	Unchanged	1c4a7efbc0d4f5b6b29d0a59a82b5d494614ad6337c3c672c08313c79156e31b	1c4a7efbc0d4f5b6b29d0a59a82b5d494614ad6337c3c672c08313c79156e31b
scripts/06_clinical/HCC_ICI_project/04_scripts/phase15b_public_replication/02_lock_outcome_maps.R	SAFE_PUBLIC	No absolute machine path	Unchanged	0ba6642d7adaaf536607884576fb2cac95321ae0a69de3044a6c0f7ea064e286	0ba6642d7adaaf536607884576fb2cac95321ae0a69de3044a6c0f7ea064e286
scripts/06_clinical/HCC_ICI_project/04_scripts/phase15b_public_replication/03_analyze_public_replication.R	SAFE_PUBLIC	No absolute machine path	Unchanged	be862810051d8c5a664850bb7a8d25c91c3b3d525558455cf0e9ed744ed81d1c	be862810051d8c5a664850bb7a8d25c91c3b3d525558455cf0e9ed744ed81d1c
scripts/06_clinical/HCC_ICI_project/04_scripts/phase15c_public_benchmark/01_run_phase15c_benchmark.R	SAFE_PUBLIC	No absolute machine path	Unchanged	9ce42309422d10b40d6a203e8e490bcebb6d36e97584424e033fddd30cc323ad	9ce42309422d10b40d6a203e8e490bcebb6d36e97584424e033fddd30cc323ad
scripts/06_clinical/HCC_ICI_project/04_scripts/phase19/03_phase19b_response_blind_scoring.R	SAFE_PUBLIC	No absolute machine path	Unchanged	671fe5ba1ea44c4cc8415f5f980a42a6cdcb431ad7b741720f7d2fddb5ddf9ae	671fe5ba1ea44c4cc8415f5f980a42a6cdcb431ad7b741720f7d2fddb5ddf9ae
scripts/06_clinical/HCC_ICI_project/04_scripts/phase19/04_phase19b_freeze_response_blind_tables.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	87e4fb32129ab0a81db07d7b9624ba862e775b7e0b5fa16a6e31b3dbdfd0a4ec	3261eacfc1660d7156f73fb522983d9e1ecaa6525657fb87ae9ce4322e659be2
scripts/06_clinical/HCC_ICI_project/04_scripts/phase19/05_phase19b_outcome_analysis.R	SAFE_PUBLIC	No absolute machine path	Unchanged	89a0232c52648e0313bd0951186fad29cfbb6bb574a0a8fe3a596e03787e8202	89a0232c52648e0313bd0951186fad29cfbb6bb574a0a8fe3a596e03787e8202
scripts/02_state_architecture/HCC_ICI_project/04_scripts/phase2/07_functional_program_GSE206325.R	SAFE_PUBLIC	No absolute machine path	Unchanged	04bf16a79374af34640e2b9581c8b2bfaa80868e1d5a10c4adcd546d45983ef9	04bf16a79374af34640e2b9581c8b2bfaa80868e1d5a10c4adcd546d45983ef9
scripts/04_clonotype/HCC_ICI_project/04_scripts/phase3/03_independent_scrna_sctcr_clone_state.R	SAFE_PUBLIC	No absolute machine path	Unchanged	98fafffb52ad7e54093fa44ab0e53c9f7caa8135ca1de2a4345526e06b21cb7b	98fafffb52ad7e54093fa44ab0e53c9f7caa8135ca1de2a4345526e06b21cb7b
scripts/04_clonotype/HCC_ICI_project/04_scripts/phase_temporal/01_gse235863_baseline_future_clone_fate.R	SAFE_PUBLIC	No absolute machine path	Unchanged	f907c81ed6c30de3da6811f450aea587dc23e8c37b7ed5f6febfe8397ba34af5	f907c81ed6c30de3da6811f450aea587dc23e8c37b7ed5f6febfe8397ba34af5
scripts/06_clinical/HCC_ICI_project/04_scripts/pretreatment_clinical_translation/01_gse104580_tace_falsification.R	SAFE_PUBLIC	No absolute machine path	Unchanged	9d93544ba88a45a5608c65d409bb04c58ebff0e7dd652b46666bdb397f144e17	9d93544ba88a45a5608c65d409bb04c58ebff0e7dd652b46666bdb397f144e17
scripts/05_spatial/HCC_ICI_project/04_scripts/spatial_specificity_rescue/01_spatial_specificity_rescue.R	SAFE_PUBLIC	No absolute machine path	Unchanged	20e699316ab29b097b3cdfce78fac2a95bfe41c57946cbfb31dddc06308497f4	20e699316ab29b097b3cdfce78fac2a95bfe41c57946cbfb31dddc06308497f4
scripts/02_state_architecture/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/01_source_audit.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	808690eace8df6d9bb75037b17558686572e5ae807c41633c18c1e32e32588ee	d780d871ff87a2589ee47ad96aef74d7f43935d66dfacdca356acc91201a18a0
scripts/02_state_architecture/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/05_run_analysis.py	SAFE_PUBLIC	No absolute machine path	Unchanged	ba85a05d02e1f02b51a4fa9dbbbca95380f27cefa85d28b1030f2eed580241ed	ba85a05d02e1f02b51a4fa9dbbbca95380f27cefa85d28b1030f2eed580241ed
scripts/02_state_architecture/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/coupling_math.py	SAFE_PUBLIC	No absolute machine path	Unchanged	1789d45ebad6f2ad042ed6f74349e127b059772a0f0385cd388e762525761575	1789d45ebad6f2ad042ed6f74349e127b059772a0f0385cd388e762525761575
scripts/07_perturbation/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/04_projection.py	SAFE_PUBLIC	No absolute machine path	Unchanged	9db80882673b5b1744a476da21e11e1963e6c6636db317d908d46e56af707a59	9db80882673b5b1744a476da21e11e1963e6c6636db317d908d46e56af707a59
scripts/07_perturbation/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/common.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	595f41045386aadbb6667fe0ddaf9eb9ec062c6dba1bea025ac1b12510839817	04c7e069d70f3d69e6a2086434fe4d62bb02bd5d02a57cb73fa3acca33b11fd8
scripts/07_perturbation/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase0_v1/scripts/02_build_phase0_audits.py	SAFE_PUBLIC	No absolute machine path	Unchanged	3bf3029282ba118f82c411d2455eb333228446d511c70d6b7c87e9508e08c700	3bf3029282ba118f82c411d2455eb333228446d511c70d6b7c87e9508e08c700
scripts/07_perturbation/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/02_execute_fixed_analysis.py	SAFE_PUBLIC	No absolute machine path	Unchanged	7240ac762bf1ba4b607b9d84ff43e1866c541de721ac634825431155ccebd604	7240ac762bf1ba4b607b9d84ff43e1866c541de721ac634825431155ccebd604
scripts/07_perturbation/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/03_independent_numeric_qa.py	SAFE_PUBLIC	No absolute machine path	Unchanged	640e46d5f1644e34abdf0a094a5232af559754a6984c8f4ef70e2d04e4510d48	640e46d5f1644e34abdf0a094a5232af559754a6984c8f4ef70e2d04e4510d48
scripts/02_state_architecture/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/00_reuse_sources.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	5b4d57305bbdba53905931260d4e6a936b81f2bf57b12d56e2f68b660284acd0	61748798acda72137a8fb35a9edde437cf8ad6204ec525113584b8c43b184946
scripts/02_state_architecture/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/02_analyze.py	SAFE_PUBLIC	No absolute machine path	Unchanged	4819636986a69d5e917b2d32db05db4da71b080dd06bb12845927a240aceb718	4819636986a69d5e917b2d32db05db4da71b080dd06bb12845927a240aceb718
scripts/02_state_architecture/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/coupling_math.py	SAFE_PUBLIC	No absolute machine path	Unchanged	1789d45ebad6f2ad042ed6f74349e127b059772a0f0385cd388e762525761575	1789d45ebad6f2ad042ed6f74349e127b059772a0f0385cd388e762525761575
scripts/05_spatial/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/00_feasibility_freeze.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	3b77f8fa1969d270e4c59a49d98d794a35b153c88fe04fe883e74ca89ba89383	31362c4fc733189c9988c43a7d99134e78a6db07dc0a478d5f10eb1d67246247
scripts/05_spatial/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/01_topology.py	SAFE_PUBLIC	No absolute machine path	Unchanged	2ae00ffd681479d85adf7cc256c6f4385c615cf42434cc9464b9e491dcb560d7	2ae00ffd681479d85adf7cc256c6f4385c615cf42434cc9464b9e491dcb560d7
scripts/05_spatial/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/common.py	REDACTED	Absolute project root -> relative working directory; private/local resources -> unavailable relative dependency where present	Unchanged; guards retained	a2eb8683a2fd0291edea497be0cd258f123bb5eb1bd0cf2ea29c8bc48272ea23	278d8f7c8905cdc9e9fb1d1862508bec4975a70473eb033c745df144e39afbce
