program_id	position	AF35_gene	matched_gene	distance	pool_rank	sampling_step	master_seed
RANDOM_0002	18	IFIT1	DMRTA1	0.43724721223351193	156	7	20260908
RANDOM_0002	19	IFIT2	FBXO17	0.23248674773818492	23	14	20260908
RANDOM_0002	20	IFIT3	SLC16A4	0.25211678096538936	45	12	20260908
RANDOM_0002	21	ISG15	NCK2	0.4543332463314025	85	6	20260908
RANDOM_0002	22	MX1	SPDYE6	0.5467733855408642	108	29	20260908
RANDOM_0002	23	OAS1	CD55	0.3124978152481593	23	11	20260908
RANDOM_0002	24	CXCL9	EIF1AY	1.0207294557492785	117	3	20260908
RANDOM_0002	25	CXCL10	PYCR1	0.9521827507985599	48	24	20260908
RANDOM_0002	26	IFNG	EPHX4	0.5624892072490054	175	21	20260908
RANDOM_0002	27	TNF	MFSD6L	0.6029087327935394	83	8	20260908
RANDOM_0002	28	CCL5	SLC7A5	0.8966178919630177	195	18	20260908
RANDOM_0002	29	NKG7	ZNF888	0.34020765784332224	34	9	20260908
RANDOM_0002	30	PRF1	IQCH	0.4015436168192527	90	31	20260908
RANDOM_0002	31	GZMB	RGS9	0.7759057925011824	200	15	20260908
RANDOM_0002	32	PDCD1	DSEL	0.3834426225945342	111	34	20260908
RANDOM_0002	33	LAG3	THEM5	0.45821267448707925	138	20	20260908
RANDOM_0002	34	TIGIT	GATA3	0.5694801196684485	129	28	20260908
RANDOM_0002	35	TOX	ADRA2C	0.6616215574737165	98	16	20260908
RANDOM_0003	1	CD3D	RAD54L	0.7153874016158364	48	14	20260908
RANDOM_0003	2	CD3E	TPRG1	0.32463319258003764	21	6	20260908
RANDOM_0003	3	CD3G	AC006453.2	0.6027141179043728	74	8	20260908
RANDOM_0003	4	CD247	SPTSSA	0.35606351755739885	103	19	20260908
RANDOM_0003	5	LCK	P2RY6	0.3692404081246403	61	33	20260908
RANDOM_0003	6	FYN	RFC2	0.19740367809000953	26	9	20260908
RANDOM_0003	7	ZAP70	GRAMD1B	0.5114273335765642	180	12	20260908
RANDOM_0003	8	LAT	AL592437.1	0.8826955233582084	155	3	20260908
RANDOM_0003	9	LCP2	PRKAG2	0.5433571791678626	147	13	20260908
RANDOM_0003	10	TRAT1	THAP10	0.3467465616692331	78	21	20260908
RANDOM_0003	11	NFKB1	CDK9	0.2992338607794737	161	23	20260908
RANDOM_0003	12	REL	HPS6	0.17664616581008816	24	16	20260908
RANDOM_0003	13	RELA	HEATR5B	0.3123726308135007	63	10	20260908
RANDOM_0003	14	NFKBIA	EEF1B2	0.5967165509965036	162	31	20260908
RANDOM_0003	15	TNFAIP3	STXBP5	0.46429819039375925	136	18	20260908
RANDOM_0003	16	STAT1	PHYH	0.7388909285536553	70	20	20260908
RANDOM_0003	17	IRF1	AL669831.1	0.5059254572036844	103	17	20260908
RANDOM_0003	18	IFIT1	FSD1L	0.36493092081234385	93	32	20260908
RANDOM_0003	19	IFIT2	DBF4B	0.39895667969050735	179	34	20260908
RANDOM_0003	20	IFIT3	ANKAR	0.3645880298843105	157	28	20260908
RANDOM_0003	21	ISG15	PKDCC	0.5673837772772649	187	25	20260908
RANDOM_0003	22	MX1	CAV2	0.6153582669648592	170	1	20260908
RANDOM_0003	23	OAS1	DEGS1	0.4301722722681118	75	7	20260908
RANDOM_0003	24	CXCL9	SDS	1.1242381867952258	154	4	20260908
RANDOM_0003	25	CXCL10	CPN1	1.2058926839066748	140	30	20260908
RANDOM_0003	26	IFNG	KLRC1	0.32012253223785614	17	22	20260908
RANDOM_0003	27	TNF	ADAMTS15	0.7011307009518942	172	11	20260908
RANDOM_0003	28	CCL5	DMKN	0.8465459613946659	154	35	20260908
RANDOM_0003	29	NKG7	ASPA	0.444254756716307	105	2	20260908
RANDOM_0003	30	PRF1	BTBD19	0.39181577697987996	81	26	20260908
RANDOM_0003	31	GZMB	HMGN1P36	0.6343717559055382	105	27	20260908
RANDOM_0003	32	PDCD1	NUTM2E	0.3043800850967975	51	24	20260908
RANDOM_0003	33	LAG3	STX1B	0.44317039363773136	122	29	20260908
RANDOM_0003	34	TIGIT	NUDT8	0.5807005602179018	141	15	20260908
RANDOM_0003	35	TOX	CACNA1A	0.7131669552411819	123	5	20260908
RANDOM_0004	1	CD3D	FCGR2A	0.6837767893315675	38	10	20260908
RANDOM_0004	2	CD3E	ZNF43	0.6197399889710667	182	7	20260908
RANDOM_0004	3	CD3G	C1QTNF3	0.48261930004011133	24	13	20260908
RANDOM_0004	4	CD247	PCDHGB5	0.4408868483417643	197	15	20260908
RANDOM_0004	5	LCK	INHBA	0.44885198301254814	121	19	20260908
RANDOM_0004	6	FYN	NFYB	0.3195891629370128	168	9	20260908
RANDOM_0004	7	ZAP70	SCARF2	0.33039079918054487	37	8	20260908
RANDOM_0004	8	LAT	WDR92	0.343433246355852	3	32	20260908
RANDOM_0004	9	LCP2	MMP14	0.4101832376732747	52	27	20260908
RANDOM_0004	10	TRAT1	PTMAP9	0.34962307019241445	83	25	20260908
RANDOM_0004	11	NFKB1	NFATC3	0.2599282038043338	100	1	20260908
RANDOM_0004	12	REL	MIEF1	0.16999837452273625	22	29	20260908
RANDOM_0004	13	RELA	ATG13	0.3915803073065107	155	11	20260908
RANDOM_0004	14	NFKBIA	PLOD3	0.49059101915792436	76	34	20260908
RANDOM_0004	15	TNFAIP3	ZNF292	0.5271664936330278	197	24	20260908
RANDOM_0004	16	STAT1	HIST1H1C	0.7541147661809847	73	17	20260908
RANDOM_0004	17	IRF1	DPY19L4	0.5663075058845166	169	31	20260908
RANDOM_0004	18	IFIT1	PCDHGB7	0.411931809372852	126	14	20260908
RANDOM_0004	19	IFIT2	FAM13C	0.2117853783043793	12	30	20260908
RANDOM_0004	20	IFIT3	ID3	0.2975391507860423	83	3	20260908
RANDOM_0004	21	ISG15	TCTN2	0.17359286566256646	2	6	20260908
RANDOM_0004	22	MX1	SAT2	0.6265565153603031	184	22	20260908
RANDOM_0004	23	OAS1	PPARG	0.4508913327576425	96	18	20260908
RANDOM_0004	24	CXCL9	WNK4	1.1166701824881022	150	35	20260908
RANDOM_0004	25	CXCL10	CCL20	1.27094243417081	174	33	20260908
RANDOM_0004	26	IFNG	FTH1P1	0.5816771563007499	200	26	20260908
RANDOM_0004	27	TNF	SLC5A10	0.5382648596011212	46	23	20260908
RANDOM_0004	28	CCL5	SLC17A3	0.4817627184347449	15	12	20260908
RANDOM_0004	29	NKG7	SLAMF6	0.27334922709642007	15	21	20260908
RANDOM_0004	30	PRF1	CNTN4	0.4832269650656328	197	2	20260908
RANDOM_0004	31	GZMB	GLRB	0.6305403799396667	99	28	20260908
RANDOM_0004	32	PDCD1	BIK	0.3894145758321571	119	20	20260908
RANDOM_0004	33	LAG3	FRMD3	0.5080393277225994	183	4	20260908
RANDOM_0004	34	TIGIT	CLEC12A	0.40716180026969195	37	16	20260908
RANDOM_0004	35	TOX	KANK4	0.5038927412050296	40	5	20260908
RANDOM_0005	1	CD3D	ESCO2	1.0186678718683586	191	23	20260908
RANDOM_0005	2	CD3E	RUNX2	0.5473001872111434	117	7	20260908
RANDOM_0005	3	CD3G	OLR1	0.7050991998907158	133	4	20260908
RANDOM_0005	4	CD247	BHLHA15	0.34438855955847614	88	11	20260908
RANDOM_0005	5	LCK	ZNF662	0.4094897476782597	95	12	20260908
RANDOM_0005	6	FYN	SAMM50	0.32354154108721356	172	20	20260908
RANDOM_0005	7	ZAP70	OSBPL6	0.3729899363215505	62	3	20260908
RANDOM_0005	8	LAT	FAM157B	0.8624290033780905	145	6	20260908
RANDOM_0005	9	LCP2	HK1	0.3022960719083851	18	10	20260908
RANDOM_0005	10	TRAT1	AL391822.1	0.2825822820869205	31	30	20260908
RANDOM_0005	11	NFKB1	GTF3C2	0.2083455097487754	50	33	20260908
RANDOM_0005	12	REL	PDE12	0.2935769295675107	127	26	20260908
RANDOM_0005	13	RELA	PJA2	0.2893078186517234	49	21	20260908
RANDOM_0005	14	NFKBIA	DIAPH1	0.4198863773865581	24	24	20260908
RANDOM_0005	15	TNFAIP3	MCAM	0.3768293155660367	65	2	20260908
RANDOM_0005	16	STAT1	MYO1B	0.7196332153328308	66	17	20260908
RANDOM_0005	17	IRF1	GNPNAT1	0.5655284324387594	167	32	20260908
RANDOM_0005	18	IFIT1	GAS7	0.413316501236006	129	18	20260908
RANDOM_0005	19	IFIT2	FLYWCH2	0.375973761368563	145	1	20260908
RANDOM_0005	20	IFIT3	C9orf72	0.3212817746445054	102	15	20260908
RANDOM_0005	21	ISG15	ZDHHC2	0.3992600012444361	54	34	20260908
RANDOM_0005	22	MX1	STXBP1	0.5586220694563141	121	25	20260908
RANDOM_0005	23	OAS1	PLVAP	0.5102203934680957	157	16	20260908
RANDOM_0005	24	CXCL9	TUBB4A	1.0887630429308714	136	29	20260908
RANDOM_0005	25	CXCL10	HIST1H2BH	0.9125308831794497	36	9	20260908
RANDOM_0005	26	IFNG	CELP	0.474167331992724	80	35	20260908
RANDOM_0005	27	TNF	PTGER3	0.6885411279672173	159	28	20260908
RANDOM_0005	28	CCL5	PKD1P5	0.8122116260898866	128	27	20260908
RANDOM_0005	29	NKG7	SMOX	0.5090095526695069	152	19	20260908
RANDOM_0005	30	PRF1	RAB37	0.4452178260064139	141	22	20260908
RANDOM_0005	31	GZMB	MDFI	0.6662657461166468	126	14	20260908
RANDOM_0005	32	PDCD1	FOXD4	0.37575069143250694	105	13	20260908
RANDOM_0005	33	LAG3	GMPR	0.2982782535341212	18	5	20260908
RANDOM_0005	34	TIGIT	MNDA	0.3434679258241251	19	8	20260908
RANDOM_0005	35	TOX	PTPRT	0.31095706929802835	11	31	20260908
RANDOM_0006	1	CD3D	TRIM16	0.1558678597004891	1	17	20260908
RANDOM_0006	2	CD3E	EMB	0.4021901622273656	44	34	20260908
RANDOM_0006	3	CD3G	PCDHB16	0.6997717398532607	130	31	20260908
RANDOM_0006	4	CD247	KCNJ2	0.20219157679390268	11	19	20260908
RANDOM_0006	5	LCK	TTLL7	0.4750828171672441	149	18	20260908
RANDOM_0006	6	FYN	PPP2R2A	0.32741855213899834	178	10	20260908
RANDOM_0006	7	ZAP70	DLG2	0.48155536917229463	150	15	20260908
RANDOM_0006	8	LAT	SPA17	0.9005211559813042	167	28	20260908
RANDOM_0006	9	LCP2	NSUN6	0.32735090273981154	25	26	20260908
RANDOM_0006	10	TRAT1	AL137803.1	0.36475569479911807	91	29	20260908
RANDOM_0006	11	NFKB1	CNOT6L	0.2857319528756031	136	27	20260908
RANDOM_0006	12	REL	FAAP20	0.2817995417856675	112	35	20260908
RANDOM_0006	13	RELA	COG1	0.4092069292004459	177	2	20260908
RANDOM_0006	14	NFKBIA	CCT7	0.5276161864514074	96	21	20260908
RANDOM_0006	15	TNFAIP3	ZNF532	0.42112536796820976	97	8	20260908
RANDOM_0006	16	STAT1	EEF1B2	0.8049741087956056	95	9	20260908
RANDOM_0006	17	IRF1	HPRT1	0.576624860661956	176	7	20260908
RANDOM_0006	18	IFIT1	DDX12P	0.43992109102711874	160	20	20260908
RANDOM_0006	19	IFIT2	RRAS	0.3493196386790235	114	16	20260908
RANDOM_0006	20	IFIT3	ZNF789	0.34232159389268557	128	24	20260908
RANDOM_0006	21	ISG15	SH3BP1	0.26116120166532336	8	11	20260908
RANDOM_0006	22	MX1	RACGAP1	0.5427384807366198	104	33	20260908
RANDOM_0006	23	OAS1	SLC16A1	0.3797681740276453	43	23	20260908
RANDOM_0006	24	CXCL9	UGT3A1	0.8383887479048404	63	14	20260908
RANDOM_0006	25	CXCL10	COCH	0.6985220230916815	14	3	20260908
RANDOM_0006	26	IFNG	AC010615.1	0.5677934497647914	180	25	20260908
RANDOM_0006	27	TNF	AC055839.2	0.6422691007811983	118	12	20260908
RANDOM_0006	28	CCL5	ART4	0.8433058494541059	150	5	20260908
RANDOM_0006	29	NKG7	FGF13	0.5209285504515772	168	32	20260908
RANDOM_0006	30	PRF1	ARHGAP44	0.40658228655301415	97	1	20260908
RANDOM_0006	31	GZMB	CHST9	0.7745371312191515	199	22	20260908
RANDOM_0006	32	PDCD1	KCNJ10	0.438270526208497	182	6	20260908
RANDOM_0006	33	LAG3	ARHGEF16	0.41252196746583086	89	4	20260908
RANDOM_0006	34	TIGIT	GALNT3	0.33608898081434335	18	13	20260908
RANDOM_0006	35	TOX	PAPPA2	0.5256758054503993	50	30	20260908
RANDOM_0007	1	CD3D	LPAL2	0.7834559259572532	65	33	20260908
RANDOM_0007	2	CD3E	SMLR1	0.24308800381157078	10	3	20260908
RANDOM_0007	3	CD3G	CR381670.1	0.7643495832174598	182	22	20260908
RANDOM_0007	4	CD247	UBASH3B	0.41341001181739834	154	8	20260908
RANDOM_0007	5	LCK	SGO2	0.3858082259282357	68	34	20260908
RANDOM_0007	6	FYN	STRADB	0.17237434514330566	18	2	20260908
RANDOM_0007	7	ZAP70	ERV3-1	0.4245724883640725	93	12	20260908
RANDOM_0007	8	LAT	PDE4C	0.9360907430412194	195	13	20260908
RANDOM_0007	9	LCP2	PYGB	0.44020003492546494	64	5	20260908
RANDOM_0007	10	TRAT1	OTOAP1	0.13077580392474428	2	32	20260908
RANDOM_0007	11	NFKB1	RELCH	0.28715631689055576	139	35	20260908
RANDOM_0007	12	REL	TMCO4	0.3254613966180669	174	4	20260908
RANDOM_0007	13	RELA	ANKFY1	0.35181883013181325	102	29	20260908
RANDOM_0007	14	NFKBIA	PSMF1	0.6236726479187278	200	6	20260908
RANDOM_0007	15	TNFAIP3	ATP13A2	0.3916598230552594	77	21	20260908
RANDOM_0007	16	STAT1	YBX1	0.9676102838186387	168	24	20260908
RANDOM_0007	17	IRF1	ATP6V1H	0.5882721054542478	197	18	20260908
RANDOM_0007	18	IFIT1	ELF4	0.27791463975396463	31	20	20260908
RANDOM_0007	19	IFIT2	SLC18B1	0.4105010650726155	198	17	20260908
RANDOM_0007	20	IFIT3	CFAP69	0.39080516360678424	200	23	20260908
RANDOM_0007	21	ISG15	SLC25A27	0.46322002884103275	92	11	20260908
RANDOM_0007	22	MX1	IRF8	0.5746905998424892	137	16	20260908
RANDOM_0007	23	OAS1	CD9	0.48453406791583836	125	14	20260908
RANDOM_0007	24	CXCL9	SUSD4	0.8652005339088409	70	15	20260908
RANDOM_0007	25	CXCL10	CSTA	0.5960900430560588	8	7	20260908
RANDOM_0007	26	IFNG	AQP7P1	0.4998944817529947	108	1	20260908
RANDOM_0007	27	TNF	SLC9C1	0.6903865597291841	163	28	20260908
RANDOM_0007	28	CCL5	KCNK1	0.8321149571547568	137	10	20260908
RANDOM_0007	29	NKG7	SLAMF1	0.5133055313034227	155	27	20260908
RANDOM_0007	30	PRF1	OSBPL6	0.44149380965414775	138	19	20260908
RANDOM_0007	31	GZMB	AC139769.1	0.44191299149610014	24	26	20260908
RANDOM_0007	32	PDCD1	CORIN	0.2858838445549913	42	25	20260908
RANDOM_0007	33	LAG3	NXPE3	0.426340240227306	103	30	20260908
RANDOM_0007	34	TIGIT	PELI2	0.635883594388834	198	31	20260908
RANDOM_0007	35	TOX	GLI2	0.8012090122212167	197	9	20260908
RANDOM_0008	1	CD3D	MSMO1	1.0060559966374911	178	35	20260908
RANDOM_0008	2	CD3E	KIAA1324L	0.5141144735277546	101	6	20260908
RANDOM_0008	3	CD3G	PTPRO	0.7813620333612976	199	9	20260908
RANDOM_0008	4	CD247	LRRC8B	0.3138925721506557	59	31	20260908
RANDOM_0008	5	LCK	RAVER2	0.22521649312214437	11	19	20260908
RANDOM_0008	6	FYN	PHKG2	0.25892399812254335	80	34	20260908
RANDOM_0008	7	ZAP70	SLIT2	0.22753566534440559	4	14	20260908
RANDOM_0008	8	LAT	AC073107.1	0.8535437901306522	134	15	20260908
RANDOM_0008	9	LCP2	FOSL2	0.4977491366821369	102	5	20260908
RANDOM_0008	10	TRAT1	ANP32AP1	0.22569329495681104	7	26	20260908
RANDOM_0008	11	NFKB1	VAC14	0.2052093512088812	45	24	20260908
RANDOM_0008	12	REL	TBC1D20	0.25262144682084514	82	8	20260908
RANDOM_0008	13	RELA	CLK1	0.4192794275573503	191	11	20260908
RANDOM_0008	14	NFKBIA	DDX23	0.6034964293766669	174	21	20260908
RANDOM_0008	15	TNFAIP3	LIMA1	0.4954208422133465	163	12	20260908
RANDOM_0008	16	STAT1	EXT1	0.9316329144396467	142	10	20260908
RANDOM_0008	17	IRF1	CCDC159	0.5842589742551937	190	32	20260908
RANDOM_0008	18	IFIT1	SPATA6L	0.43651923724464553	153	22	20260908
RANDOM_0008	19	IFIT2	ENDOV	0.26351948504315764	43	27	20260908
RANDOM_0008	20	IFIT3	HYKK	0.3111115113035675	96	13	20260908
RANDOM_0008	21	ISG15	TPRG1	0.5715659737306723	191	4	20260908
RANDOM_0008	22	MX1	MAP7	0.508238071617928	83	1	20260908
RANDOM_0008	23	OAS1	SPATS2	0.44363053078342346	90	20	20260908
RANDOM_0008	24	CXCL9	ADAMDEC1	1.1205722618681704	153	33	20260908
RANDOM_0008	25	CXCL10	SLC17A2	1.1981082578237119	135	2	20260908
RANDOM_0008	26	IFNG	CCNI2	0.5614962581293161	171	29	20260908
RANDOM_0008	27	TNF	VENTX	0.4278371020546209	16	3	20260908
RANDOM_0008	28	CCL5	IGFBP5	0.6859653868621203	70	23	20260908
RANDOM_0008	29	NKG7	EME1	0.43628621235292125	97	7	20260908
RANDOM_0008	30	PRF1	GTF2IP13	0.3246776314407955	42	28	20260908
RANDOM_0008	31	GZMB	LSAMP	0.6910292386691456	142	25	20260908
RANDOM_0008	32	PDCD1	MROH7	0.1705029662463563	8	18	20260908
RANDOM_0008	33	LAG3	CTTNBP2	0.42510011678895426	102	30	20260908
RANDOM_0008	34	TIGIT	LAX1	0.4809984757568768	70	16	20260908
RANDOM_0008	35	TOX	INPP5J	0.43780894991364555	28	17	20260908
RANDOM_0009	1	CD3D	SLC17A3	0.8587025686456006	98	10	20260908
RANDOM_0009	2	CD3E	NPNT	0.3350160512546357	23	15	20260908
RANDOM_0009	3	CD3G	ZNF486	0.553869141655695	54	2	20260908
RANDOM_0009	4	CD247	BAK1	0.42884745873079466	181	30	20260908
RANDOM_0009	5	LCK	ST6GALNAC4	0.4154519869458137	96	25	20260908
RANDOM_0009	6	FYN	USP30	0.2098684060392773	29	33	20260908
RANDOM_0009	7	ZAP70	TMTC1	0.4298260229728196	100	9	20260908
RANDOM_0009	8	LAT	PDCL3P2	0.9160048521287412	176	11	20260908
RANDOM_0009	9	LCP2	CDC14B	0.5274598276202482	129	29	20260908
RANDOM_0009	10	TRAT1	NGF	0.3733255041316607	98	32	20260908
RANDOM_0009	11	NFKB1	CDK9	0.2992338607794737	161	24	20260908
RANDOM_0009	12	REL	ALKBH5	0.3175253763185131	162	20	20260908
RANDOM_0009	13	RELA	ROCK1	0.3816237066411334	138	21	20260908
RANDOM_0009	14	NFKBIA	ERGIC3	0.43904446105334427	33	16	20260908
RANDOM_0009	15	TNFAIP3	DDAH2	0.4542014853886032	124	18	20260908
RANDOM_0009	16	STAT1	ANXA2	0.7687202771833181	79	35	20260908
RANDOM_0009	17	IRF1	TATDN1	0.542300139941719	139	22	20260908
RANDOM_0009	18	IFIT1	FIGN	0.46536731851418484	186	3	20260908
RANDOM_0009	19	IFIT2	CELF2	0.4033550162378856	184	6	20260908
RANDOM_0009	20	IFIT3	LURAP1L	0.38310178689971847	183	12	20260908
RANDOM_0009	21	ISG15	GJA1	0.4795054939805368	110	13	20260908
RANDOM_0009	22	MX1	PANK1	0.41682723418403844	39	4	20260908
RANDOM_0009	23	OAS1	NRP2	0.4399250999724429	87	7	20260908
RANDOM_0009	24	CXCL9	KEL	0.7239302718265902	45	26	20260908
RANDOM_0009	25	CXCL10	PKD1P5	1.2545732346263523	165	19	20260908
RANDOM_0009	26	IFNG	PDCL3P5	0.5652167585589674	179	17	20260908
RANDOM_0009	27	TNF	SLC9C1	0.6903865597291841	163	1	20260908
RANDOM_0009	28	CCL5	SLC1A3	0.5986180573224823	36	31	20260908
RANDOM_0009	29	NKG7	IL1RL2	0.28502410310076176	22	14	20260908
RANDOM_0009	30	PRF1	ZNF256	0.4605705167406907	161	8	20260908
RANDOM_0009	31	GZMB	SYT1	0.5108463585682715	40	28	20260908
RANDOM_0009	32	PDCD1	SIGLEC15	0.34133629603431515	74	23	20260908
RANDOM_0009	33	LAG3	KAZALD1	0.43094948631491375	111	5	20260908
RANDOM_0009	34	TIGIT	TGFB2	0.5687765296728129	128	34	20260908
RANDOM_0009	35	TOX	ASPHD1	0.7820275197142655	184	27	20260908
RANDOM_0010	1	CD3D	IGF1	0.36314648196304256	5	12	20260908
RANDOM_0010	2	CD3E	TPRG1	0.32463319258003764	21	3	20260908
RANDOM_0010	3	CD3G	ANXA3	0.5870426841742502	62	27	20260908
RANDOM_0010	4	CD247	ZNF649	0.4255780730403449	172	34	20260908
RANDOM_0010	5	LCK	MMP19	0.3952201355443708	81	2	20260908
RANDOM_0010	6	FYN	SLC25A22	0.10320056562109202	3	20	20260908
RANDOM_0010	7	ZAP70	RASGRP2	0.5246878364475419	198	7	20260908
RANDOM_0010	8	LAT	BBIP1P1	0.5188432249449405	14	8	20260908
RANDOM_0010	9	LCP2	RASGEF1B	0.5562487422050175	165	31	20260908
RANDOM_0010	10	TRAT1	MTCP1	0.40662488993815393	131	14	20260908
RANDOM_0010	11	NFKB1	NUDCD3	0.30223533514803735	170	6	20260908
RANDOM_0010	12	REL	MVB12A	0.2721122301239117	96	21	20260908
RANDOM_0010	13	RELA	FUBP3	0.38071224826324546	136	9	20260908
RANDOM_0010	14	NFKBIA	ZNF207	0.4016717432104011	19	33	20260908
RANDOM_0010	15	TNFAIP3	RABL6	0.49806889613659666	167	17	20260908
RANDOM_0010	16	STAT1	SYNPO	0.945333199281198	150	23	20260908
RANDOM_0010	17	IRF1	BTN3A3	0.467332783733109	76	18	20260908
RANDOM_0010	18	IFIT1	PCDHGA10	0.12571879040802045	3	30	20260908
RANDOM_0010	19	IFIT2	CCDC150	0.34878716426331957	110	29	20260908
RANDOM_0010	20	IFIT3	MTHFD2L	0.3445350365970698	132	1	20260908
RANDOM_0010	21	ISG15	FAAH2	0.15134807243998452	1	25	20260908
RANDOM_0010	22	MX1	GUSBP1	0.5946196789335312	153	5	20260908
RANDOM_0010	23	OAS1	TNFSF10	0.5419855552329838	198	35	20260908
RANDOM_0010	24	CXCL9	ZNF676	0.6624198933978932	28	28	20260908
RANDOM_0010	25	CXCL10	AC025884.1	1.189451898031693	128	15	20260908
RANDOM_0010	26	IFNG	AP002358.2	0.5532908167209738	163	24	20260908
RANDOM_0010	27	TNF	EFNB3	0.61950709788854	96	4	20260908
RANDOM_0010	28	CCL5	MFAP2	0.8391610623829513	145	26	20260908
RANDOM_0010	29	NKG7	CD27	0.1889745585117778	5	32	20260908
RANDOM_0010	30	PRF1	RAB37	0.4452178260064139	141	16	20260908
RANDOM_0010	31	GZMB	FHIT	0.61388199739405	86	10	20260908
RANDOM_0010	32	PDCD1	SLC8A3	0.41840931603042153	157	11	20260908
RANDOM_0010	33	LAG3	C3orf67	0.3493221125956096	34	22	20260908
RANDOM_0010	34	TIGIT	CA14	0.5045222989789075	80	13	20260908
RANDOM_0010	35	TOX	PRDM16	0.7919864244388973	191	19	20260908
RANDOM_0011	1	CD3D	AMACR	0.692866962576841	40	1	20260908
RANDOM_0011	2	CD3E	ADHFE1	0.6142802909440734	178	23	20260908
RANDOM_0011	3	CD3G	TRIM73	0.7423218766543359	156	4	20260908
RANDOM_0011	4	CD247	TLR1	0.4271729191834837	175	18	20260908
RANDOM_0011	5	LCK	TTLL7	0.4750828171672441	149	20	20260908
