HE_Annotation	response	x	y	raw_target_score	broad_immune_score	conditional_score	x_hires	y_hires	tissue_hires_scalef	coordinate_status	adjacent_section_status
NA	Nonresponder	1344	1769	0.202646205020648	0.261077867847809	0.381843194084571	896.0000448	1179.3333923	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1722	1599	0.153701177487117	0.367196992197558	-0.6466121726627	1148.0000574	1066.0000533	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1322	1694	0.0772581080625779	0.495649237514101	-1.84372032461052	881.3333774	1129.3333898	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1203	1526	0.208002644361081	0.351529957607479	0.0430307063998982	802.0000401	1017.3333842	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1527	1338	0.162749043159264	0.211035421676885	0.372552058455771	1018.0000509	892.0000446	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1495	1768	0.545711615682155	1.35620921664717	0.51119171866233	996.6667165	1178.6667256	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1311	1750	0.179541652290906	0.333603375262157	-0.245239842942102	874.0000437	1166.666725	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1463	1750	0.671086198299394	1.24236371416661	2.71802307035308	975.3333821	1166.666725	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1808	1449	0.217484913119842	0.332757089283792	0.283301204668924	1205.3333936	966.0000483	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1636	1787	0.30646616918731	0.562162311082071	0.474048732886211	1090.6667212	1191.3333929	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1494	1356	0.252737117017576	0.187421768819367	1.82839333914372	996.0000498	904.0000452	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1354	1525	0.301062204404289	0.577506382321249	0.35473206357941	902.6667118	1016.6667175	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1419	1637	0.155623599290759	0.452960373933496	-0.573444189741292	946.0000473	1091.3333879	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1636	1749	0.226786437436911	0.447802907534069	-0.127915608046075	1090.6667212	1166.0000583	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1311	1525	0.185522115137398	0.319546087703901	-0.0896126319746132	874.0000437	1016.6667175	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1430	1693	0.279454474280598	1.09802172008837	-1.98701021831682	953.333381	1128.6667231	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1528	1749	0.422642989771252	0.789075709290809	1.1402729386272	1018.6667176	1166.0000583	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1375	1338	0	0.357915402537141	-1.33106689330573	916.6667125	892.0000446	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1516	1356	0.187498452308513	0.374148939455246	0.124681784328298	1010.6667172	904.0000452	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1755	1655	0.201071854834407	0.312457498795238	0.0984576206525404	1170.0000585	1103.3333885	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1873	1486	0.199723347200311	0.241422071453603	0.428521433615235	1248.6667291	990.6667162	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1354	1376	0	0.270061522261469	-1.2627542124076	902.6667118	917.3333792	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1593	1712	0.135429536988016	0.2522780207547	-0.498241616199056	1062.0000531	1141.3333904	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1310	1413	0.156307861100102	0.168277979771532	0.167784637504478	873.333377	942.0000471	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1733	1468	0.199365531656711	0.37541128783589	-0.184083522047353	1155.3333911	978.6667156	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1613	1300	0	0	0.406971084649087	1075.3333871	866.66671	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1213	1395	0.0402457825960892	0.197136480093404	-0.89235641064986	808.6667071	930.0000465	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1343	1619	0	0	-0.300251318889305	895.3333781	1079.3333873	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1256	1394	0.162620536396179	0.183395746369555	0.384759869911251	837.3333752	929.3333798	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1235	1619	0.209441291799501	0.216804902081823	0.778291076394467	823.3333745	1079.3333873	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1549	1600	0.146122762821396	0.255867222567281	-0.365292668939628	1032.6667183	1066.66672	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1700	1487	0.18784358527266	0.265716276272802	0.14497649397671	1133.33339	991.3333829	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1527	1487	0.175099896287573	0.583616741254269	-1.04110654001171	1018.0000509	991.3333829	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1571	1787	0.460685433677919	0.706477854018605	1.97655219583087	1047.3333857	1191.3333929	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1430	1544	0.20576197001421	0.429705795073606	-0.235449940050483	953.333381	1029.3333848	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1278	1432	0.147354562562769	0.295464699000018	-0.524713499800444	852.0000426	954.6667144	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Out-of-bound	Nonresponder	1170	1507	0.164764239740055	0.246854895908657	-0.0905807525983731	780.000039	1004.6667169	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1409	1656	0.20298766483704	0.551371971226209	-0.308457375666015	939.3333803	1104.0000552	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1582	1730	0.170382957660295	0.283139860116827	-0.154027548816727	1054.6667194	1153.333391	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1560	1693	0.211551418977635	0.511237838962486	-0.596473670636893	1040.000052	1128.6667231	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1484	1712	0.673419452784625	1.46072716135607	1.82463504468979	989.3333828	1141.3333904	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1310	1376	0	0.290777594019827	-1.49808826172487	873.333377	917.3333792	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1224	1451	0.19261633112627	0.32524962969192	-0.019305199738428	816.0000408	967.3333817	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Adj. liver	Nonresponder	1408	1394	0.260997386330238	0.564547088702704	0.0515160025920545	938.6667136	929.3333798	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1679	1562	0.0929682999361169	0.258512313172323	-0.363379333418671	1119.3333893	1041.3333854	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1765	1524	0.177523012085325	0.316443437522204	-0.194887016125765	1176.6667255	1016.0000508	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1700	1337	0	0	0.11334903292371	1133.33339	891.3333779	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1235	1582	0.162150361584387	0.292150901015397	-0.178666398792633	823.3333745	1054.6667194	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1624	1356	0.0604619305120689	0.313104128236255	-0.830144885913535	1082.6667208	904.0000452	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1419	1712	0.450187749261862	1.03093423117057	0.630041409996179	946.0000473	1141.3333904	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1505	1338	0.163256027053733	0.198181008988843	0.441797450895951	1003.3333835	892.0000446	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1279	1694	0.165645822066096	0.482877386617295	-0.669148135308428	852.6667093	1129.3333898	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1267	1451	0.200672576552627	0.366249504217238	-0.0831430025863039	844.6667089	967.3333817	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1364	1357	0.0902890687552689	0.383182603453987	-0.370800983183487	909.3333788	904.6667119	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1213	1544	0.192742246773872	0.54038316399046	-0.970452054284885	808.6667071	1029.3333848	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1635	1412	0.416792663919951	1.03352292588635	0.192816346849205	1090.0000545	941.3333804	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1517	1656	0.167806300353828	0.212760040949763	0.124705736310348	1011.3333839	1104.0000552	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1603	1468	0.624744331670478	1.30094692086333	1.74149485940093	1068.6667201	978.6667156	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1700	1412	0.258132764375703	0.56656215412011	-0.160527059962818	1133.33339	941.3333804	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1484	1562	0.165758222543886	0.280476904223001	-0.2131967958871	989.3333828	1041.3333854	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1548	1263	0	0	0.703812557824428	1032.0000516	842.0000421	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1560	1543	0.250891512975792	0.513001099442188	-0.0582055255047329	1040.000052	1028.6667181	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1602	1319	0.104062101359899	0	1.55479092879611	1068.0000534	879.3333773	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1571	1674	0.182966180646296	0.398666196814235	-0.471092241421385	1047.3333857	1116.0000558	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1668	1655	0.183796415985284	0.473267168995236	-0.788101856087534	1112.0000556	1103.3333885	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1452	1731	0.528316959112057	1.25674944772804	0.776661962995767	968.0000484	1154.0000577	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1668	1730	0.323181741619101	0.436084431652477	1.23797292479975	1112.0000556	1153.333391	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1213	1469	0.232818329500934	0.397126142665224	0.214583256814336	808.6667071	979.3333823	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1765	1562	0.191603912075937	0.313030099831737	0.0390267050824943	1176.6667255	1041.3333854	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1300	1469	0.140167048330313	0.232996603210774	-0.327268240326914	866.66671	979.3333823	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1365	1619	0.179486961681484	0.418802910590128	0.295585925021731	910.0000455	1079.3333873	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1257	1694	0.252580459885373	0.785803038953873	-0.946822691884769	838.0000419	1129.3333898	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1181	1451	0.177378960649738	0.386375463025336	-0.465428979016528	787.3333727	967.3333817	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1570	1338	0.183102054867615	0.256342876814661	0.676037854515016	1046.666719	892.0000446	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1398	1637	0.293398264382358	0.52007114302993	1.2462274371648	932.0000466	1091.3333879	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1462	1562	0.187743771074446	0.327114952110355	-0.105527618827962	974.6667154	1041.3333854	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1462	1300	0.120605261471525	0	2.0035691499229	974.6667154	866.66671	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1635	1562	0.287519646102286	0.765437469483906	-0.375089145217817	1090.0000545	1041.3333854	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1300	1694	0.115290245015365	0.625226462462505	-2.08686988105998	866.66671	1129.3333898	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1473	1618	0.18829984959702	0.310967048107552	-0.0184177272461679	982.0000491	1078.6667206	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Out-of-bound	Nonresponder	1420	1787	0.632618699685159	1.22601824720094	2.40107528700766	946.666714	1191.3333929	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Adj. liver	Nonresponder	1419	1413	0.280233202915443	0.57125059605545	0.270844543828029	946.0000473	942.0000471	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1473	1319	0	0	0.0597431272088014	982.0000491	879.3333773	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1333	1713	0.245040247613555	0.894069438256481	-1.55761555322165	888.6667111	1142.0000571	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1570	1300	0	0	0.177039046408116	1046.666719	866.66671	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1647	1655	0.162330441277042	0.517891288219805	-1.26535018297508	1098.0000549	1103.3333885	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1235	1469	0.278281591716605	0.434209178618472	0.665332939394343	823.3333745	979.3333823	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1494	1281	0	0	0.4873634605935	996.0000498	854.0000427	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1733	1543	0.244414438645888	0.238552424773186	1.12665899657898	1155.3333911	1028.6667181	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1593	1787	0.264375940075784	0.474367217633132	0.287594324496062	1062.0000531	1191.3333929	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1679	1786	0.267664869286563	0.542434809254541	0.141549449258605	1119.3333893	1190.6667262	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1646	1431	0.338234393596218	0.777376128804847	0.0890685965259392	1097.3333882	954.0000477	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1614	1525	0.235467828805394	0.533325405835329	-0.0874687080543871	1076.0000538	1016.6667175	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1787	1636	0.148376719806051	0.284020124636416	-0.449506912258119	1191.3333929	1090.6667212	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1819	1393	0.175436821662437	0.153507218954632	1.13779792397715	1212.6667273	928.6667131	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1365	1544	0.196661251210786	0.326298705965014	0.00494259006768505	910.0000455	1029.3333848	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Tumor	Nonresponder	1192	1619	0.167784231726191	0.426948420470053	-0.828673610583908	794.6667064	1079.3333873	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1322	1731	0.24933798804906	0.613947071392942	-0.482020652956307	881.3333774	1154.0000577	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1581	1394	0.1649379266118	0.427745493561711	-0.710915268090296	1054.0000527	929.3333798	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Out-of-bound	Nonresponder	1863	1580	0.196014109121647	0.273862645308681	0.259922876222945	1242.0000621	1053.333386	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
Stroma	Nonresponder	1409	1694	0.209361156545475	0.929119625316513	-2.13617488978975	939.3333803	1129.3333898	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
NA	Nonresponder	1808	1374	0.136249678157746	0	1.57539458388148	1205.3333936	916.0000458	0.6666667	Visium full-resolution coordinates scaled to released hires H&E	CODEX context is from a mapped adjacent section; no same-cell claim
