cohort	draw_id	matched_program_genes	conditional_response_effect	conditional_cohort_mean	target_response_effect	target_cohort_mean	program_size	nearest_candidate_pool	matching	seed	random_sets_are_biological_replicates
GSE238264	RANDOM_011	ENPP7;TFF2;HMBOX1;ELMO3;ART4;TYW3;ACSS1;LRRC3;AC022613.1;HOXA13;MBD4;PACSIN1;DDX24;HNRNPF;MDFIC;DSTN;HOOK3;AP1M2;P2RY11;ARHGAP27;HYI;FBLN5;SPTY2D1;PLEKHA2;ANXA9;DNAH2;AC011468.5;SPRR2F;RND1;KIF3A;SLC19A3;ITGB8;OIT3;AREG;PARTICL	0.00330288781095729	0.0151756305457996	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_012	TTLL3;HPS5;ARHGAP31;MRVI1;KCNMA1;IGSF1;AOAH;SELL;PAQR7;SIGLEC12;SEH1L;FCGR1B;HYI;TMEM141;GPSM1;NDUFS8;SH3YL1;WDTC1;THSD7A;TRIM22;SH3D19;TRIM56;TMEM87B;ATM;ULK4;AC018467.1;AC107952.2;PHLDA2;NPL;PLAU;SCD5;TBC1D8;LILRB3;CEP135;ARHGEF25	0.00759716973969307	0.0140795735976077	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_013	CELF2;LIFR;TREM2;FGR;AHI1;IL2RG;FAM229B;IGF2BP1;SPOCK1;PLPP7;FAM214A;DNAAF1;KRT10;MAZ;DHDDS;BAG6;EHD1;SLC25A30;BISPR;SPTLC3;TLCD4;MACROD1;MECP2;SFN;ABCG5;AL358852.1;AL137026.1;RBMS1;ABCC9;RAPGEF3;SLC9A1;GPRC5A;TLE4;PRAM1;ZNF525	-0.00595300289369168	0.0113198760627936	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_014	UPF3B;CA4;CPNE5;ANKRD26;RNF135;SLC6A2;RASGRP2;STS;FBLN2;LINC01948;NR1D2;SCTR;DRAP1;TIMP3;RGS2;ADH6;PHLDA2;SERTAD2;CSGALNACT1;ITPRIP;THOP1;CA2;PIEZO2;LTB;DNAJC12;AL590133.1;AC010280.1;INMT;CREBRF;MAP4K1;REC8;SPINK5;RHOJ;DACT1;FGF12	0.0276415760450741	0.0371274749997532	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_015	SECTM1;OAS2;NEURL2;SLC31A2;GPRC5B;GIMAP5;PCED1B-AS1;SP110;CDHR2;OSM;COG3;PCSK5;GPS2;GSDMD;ARID4A;PIGT;TCF7;TCOF1;BISPR;SGMS2;BRD2;CLEC11A;NNT-AS1;TRADD;MPHOSPH6;AL365272.1;LINC02340;SYBU;LIFR;AC015917.2;TLR2;ZNF611;AC004889.1;MAPK10;FGF12	0.0192098453477394	0.0176839105230281	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_016	ABCC9;MDFIC;GBP5;CXCL6;PLCG2;IL2RG;EME2;FAM222A;GPSM3;GLI1;PPM1F;ALDH1L2;BTBD2;LSM4;RANBP10;SELENOW;CTSO;BAZ2B;PCED1B;SEMA3B;DDX24;TLE3;CARD16;CMTM3;PTP4A3;CSDC2;LINC00504;GLIPR1;HLA-DOA;KPNA5;MYOF;SLC23A3;DENND4C;CCDC9B;CEP55	0.0256776824749229	0.0261670338950707	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_017	GPSM3;CCDC159;FPR1;ITGBL1;FCMR;MERTK;ZBTB21;NAT2;PITPNM2;RHCG;RNMT;SIGLEC9;PCCB;CAPZB;RB1;MGAT1;BPTF;EPB41L1;SLC6A13;AC007493.1;CRELD2;MAP1B;PPM1K;PART1;SERPINI2;LINC00504;GASAL1;IFITM10;SLA;PDGFD;LINC02716;CH25H;WNT4;EXOC3-AS1;FAM71E1	0.0297421113901093	0.0161069710418108	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_018	ETV6;ALPL;EBF1;STEAP4;DBH;SPHK1;MINDY2;CCL3;GCKR;LINC02388;RASSF1;SIGLEC9;TRABD;COPA;ZNF292;COL3A1;MAP7D1;RSF1;CA14;FGF2;NUBP2;RALGDS;TMEM161B-AS1;CFHR4;CNTNAP3B;LINC01750;GAS6-DT;GHRH;MERTK;HRCT1;PNPLA3;AC009041.2;FER;GPIHBP1;DLX6-AS1	-0.0178953436724214	0.0450924205558054	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_019	CCDC186;OSMR;MITF;ZDHHC1;IL16;TTPA;CELF2;HTRA3;RAB20;PBX4;GINM1;CARMIL2;MAN2C1;COX20;SZT2;COL3A1;RAD50;PPP1R15A;SLIT3;HOGA1;CADM1;CGA;SH3PXD2B;MPEG1;HLX;ZBTB44-DT;IL23A;CTSK;MMD;MARCH1;SLC2A4;ZNF831;SLC6A13;ARHGEF10;ZNF619	-0.0106942772881476	0.0630005882758689	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_020	CXCL8;GIMAP4;ENO2;FGR;TLR4;NPHP3;LTC4S;KDM5D;GPC6;CYP26B1;ETFDH;HSPA6;CRYL1;COX17;MARVELD1;SLC25A5;MGLL;NEU4;PRG2;ETV6;CSK;PARP6;CFAP36;HECTD3;ZNF644;AC107214.1;AC023813.3;SLC25A18;IGFALS;ST8SIA4;GPX8;AC018653.3;TMPRSS3;MRGPRF;AL023284.4	0.0118867227742747	0.00708152089426885	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_021	WFDC2;SLA;KLRK1;ARHGAP25;TCEAL3;SPTY2D1;FAM13A;RAB3IL1;ZSWIM6;SNCA;GPANK1;CXCR6;SYAP1;LEAP2;SLC35E2A;FBXW5;PARVB;PART1;LINC01116;EXOC1;PECR;SLC15A3;NEIL2;ERBB2;PURA;ZBTB44-DT;ADAMTS3;FABP4;GYS2;CD69;MAP3K5;LINC02535;LIMCH1;LINC00924;SAMD12	0.0292021558039879	0.0296347122783442	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_022	CCL4;DAO;GPX8;BICC1;GPR183;FAM126B;SIGLEC1;RASSF2;ENTPD1;RNF165;PTPN2;PRKY;TIMM17B;DNAJB11;TRAPPC11;RNF187;CAVIN3;INTS6;APOBEC3F;AC007493.1;CMTM8;ADAMTS1;NNT-AS1;ATM;ME1;LINC02361;ACKR4;SLC13A3;DCP1A;ITGB7;RNASE2;MAP6;PLA2G7;GZMH;SATB2-AS1	-7.69427501087425e-05	0.0172347945724977	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_023	SOCS2;WFDC2;IGSF9;NR1I2;PEAR1;FRYL;MINDY2;KCNMA1;OSTF1;MAMDC2;PLEKHO2;LINC02197;PPP6R1;ORMDL3;SPHK1;MYL12A;NAGS;EPDR1;SRGAP1;PPM1K;AHCYL1;C2CD2;FAM53B;BTN3A1;NLRP1;SPAG8;AC107214.1;TSPAN9;DAPL1;CCDC102B;TREM2;SLC15A2;RHOJ;BCL2A1;AC026471.4	0.0133102455557696	0.0268198223495269	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_024	CLEC2B;CCL4;PDE1A;HCK;CD84;PRKCH;MYO5A;ZRSR2;ENDOD1;AC027279.1;DNTTIP2;APBA1;SNX6;SCAMP3;FGFR1OP2;NDUFB4;FBN1;TUBB6;B4GALNT1;ACCS;IQSEC1;FLCN;FAM114A2;FBXO2;PLEKHA2;AP001330.4;GAS6-DT;SP100;CAPN3;SLCO2A1;ARHGAP24;ARSG;AC099508.1;USH2A;INTS6-AS1	0.0181085378928969	0.0170706190372155	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_025	SYT7;CLEC2B;DES;SLCO2A1;KCNQ1OT1;ANKRD50;LRRC3;PSTPIP2;ARMCX3;HBD;PANK2;SMIM22;AGAP3;APH1A;ING1;UQCRFS1;TCF7;ITCH;HOXA-AS2;SERTAD3;SLC43A3;CLDN18;VWA8;SPOP;SHISA4;AC018553.1;AL590133.1;DIO1;GPR137B;FAP;IGSF23;TNFRSF11A;SLFN11;HLA-DQA2;TRIM73	0.0099097490767409	0.00707639738309229	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_026	S100A8;JAML;TANC2;FCGR2B;HIVEP2;TTPAL;MXRA5;ACVRL1;S1PR1;CPA3;ZMAT5;DNAAF1;MRPL40;FGFR4;DHX37;NDUFB10;FYTTD1;SERTAD2;TTC22;DUXAP8;PREB;OSTM1;ST6GALNAC4;XPNPEP2;KIF1A;APOBEC3A;AL121845.4;PHLDA2;PLGLB2;PAMR1;TM6SF2;LINC01488;ITGB7;SLIT2;FAM53A	0.00712815712393088	0.00868703907630763	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_027	IRF2;GPC6;POU2F2;TRPV2;SLAMF8;BCL2L11;SPART;FGFR2;MEGF6;AGBL2;TPP2;KCNS3;PRPF6;SRSF5;PEX14;COL1A2;STAT5B;NHLRC3;HECW2;SERTAD3;SLC31A1;RFTN1;RAB31;TGFBR3;FLNC;KCNN1;ACKR4;ANKRD37;MMP9;APOBEC3G;STAMBPL1;SLA2;ZNF160;LINC00942;TMEM121	-0.0414184672749634	0.0511861572855468	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_028	SPOCK1;PALMD;PRG2;GBP7;LAMA2;GYS2;CWF19L2;CHST11;CAPN3;AC004585.1;TPP2;MATK;TMEM106B;HNRNPA0;SOCS5;SET;CFDP1;PPFIBP2;LINC01355;ABCC9;UROS;TLE3;RND1;AC104461.1;SERPINI2;SLC24A4;AC099066.2;LTBP2;MERTK;RLF;CD300A;LILRA4;ENTPD2;CD19;LRRC37A2	0.00980104287314066	0.0143827324882691	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_029	PREX1;ZNF292;KCNE4;ZG16;AHI1;AC083841.1;SLC16A10;FKBP14;OSMR;AHNAK2;LIMD1;AC108134.3;TAF7;MMAB;RTN4RL2;TSC22D1;F11;N4BP1;SHPRH;KRCC1;SORBS3;ERBB2;RAB34;KIF1A;PTP4A3;DOCK3;AL034374.1;OSBPL8;PIM2;ARHGAP25;ABI3BP;WNT3A;SPON1;LINC01558;AC026471.4	0.00469747923531979	0.0118380448465025	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_030	FMO4;TTPA;NBPF26;TGFB3;CELF2;UBXN11;CCL3;KCNJ3;RAB20;AC087392.1;INPP5A;SH2D1A;ANP32A;NNT;ZNF385A;WDR83OS;CCDC88A;SDCCAG8;HECW2;ZBTB43;DUT;FOLR2;CCSER2;GLYATL1;EVI5;AC007389.5;AC051619.5;IFITM10;MOGAT3;SNED1;WRN;AC087564.1;APOBEC3G;CD300LF;CU638689.5	0.00699456999852995	0.00792345970881293	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_031	HECA;DIAPH2;PDE1A;SLCO2A1;ADAMTS10;SLC27A1;CWC27;CYTH4;SPTLC3;IL6;COG3;TFEC;TM7SF3;SSBP1;UBXN11;TXNDC17;SP100;PHACTR4;DOCK10;SERTAD3;SMIM7;PLEKHA2;KAT6B;TNFSF13;GPATCH8;CAPN8;NECTIN4;SLC6A1;CEP170;LYL1;TLR2;AC007038.2;PLEKHG1;CD5;SSUH2	0.0253821459138785	0.00887466882625843	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_032	TRIM22;IGHA2;LY75;MRVI1;GLIS2;C1orf162;PLEKHA4;LMO2;LAIR1;ADAM33;UTP11;GZMM;HMGCR;CCT6A;MAP3K3;SDF2L1;CETN2;MOB3A;LAT2;FGF2;GPS2;SEPTIN1;AKAP7;REG3A;ISG20;CNNM3-DT;SPAG8;CCDC3;ZEB1;LINC01151;IL3RA;SSTR2;SLC1A1;ETV7;PRDM16	0.0338474722294844	0.0146430996888068	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_033	CD79B;ACAP1;PALM3;RELT;FHL2;SYT12;ACTG2;CCDC198;ZEB1;AL662844.4;PPFIBP1;SPRN;UHMK1;ACTA2;ZNF292;DUSP23;TMEM53;N4BP1;RECK;SLC23A1;LENG8;PLIN1;CARD16;OGFOD1;CD53;AC090617.3;AC080129.2;PTPN6;SULF1;IRF5;APOBEC3G;SYT15;SLFN11;GPR143;AC120053.1	0.034164987499067	0.0350877082170062	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_034	NGEF;HIC1;SAMD11;HGF;SCN1B;ATG16L2;SYNE1;LTB4R;MRC2;AC109439.2;YLPM1;DEFB132;SPR;CCNL2;IGFALS;VDAC1;TMEM53;SDCCAG8;HEY2;STK39;PSMD3;MATN2;LDB2;KYNU;ZDHHC20;NOMO3;AC010542.2;CHST15;SLA;NFASC;AC004233.2;SSTR2;PRSS8;CLIC3;AC009309.1	0.00917974378209439	0.0184620258279551	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_035	NECAB2;IL2RG;KCND3;PRKCB;CD79B;TTPAL;AGO3;SCNN1D;CD248;ZNF215;SCGN;SLAMF1;AP1B1;CMPK1;GABPB1-AS1;TM7SF2;GSTM4;CCNH;THSD4;SLFN5;CRELD2;CSTA;LFNG;ST3GAL6;GNPTAB;HIST1H3D;ACKR4;CCDC88A;NPL;CLSTN2;ALPK2;BNC2;STAMBPL1;FITM1;AL162253.2	0.0115283597265012	0.0171389630030753	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_036	SLA;COL16A1;RIPOR2;TRPV2;FERMT3;LEF1;NAT2;BBOX1;KRT19;IRF4;PXDN;OXT;DPP9;KTN1;HCP5;ARPC5;TCEAL8;CLEC11A;MIR100HG;SLFN5;CCL14;RBM27;NMI;HELZ;SLC15A3;PCSK1;DOCK3;ETS1;NBPF12;NINJ2;SLC19A3;PLA2R1;KDM8;RERGL;TUB	-0.0132227472264871	0.0269662777640574	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_037	ABCG1;SLC16A3;PDE1A;NTS;GOLGA8A;BTN3A3;PARVG;CD48;ACAP1;CLIC5;RRAGC;F2RL1;OGDH;COX20;SLC2A10;SNHG5;MKLN1;HIP1;LINC01355;HEXIM1;LGALS8;GMFG;TMOD1;PRSS3;GDA;LINC00702;AL161665.1;SYNPO;RANBP10;CTTNBP2NL;CEP290;EBI3;DENND6B;PIK3R5;DLG5-AS1	0.0185063586432684	0.0145811636650287	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_038	SMAD7;SASH1;POU2F2;SAMD9L;TNFSF13B;MAMDC4;RASSF5;HCK;DAPL1;GPR171;BRD3;FZD2;PQBP1;HMGN1;SLC9A8;SULT2A1;HSD17B14;MAFF;SAMSN1;DDX60;PARP10;ELN;MLH3;ITPKC;ISG20;IL23A;CCDC38;APOF;S100A1;CSF3R;HAVCR2;AC007038.2;BLK;KAZN;AL356056.2	-0.00602618920437988	0.00882273660933385	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_039	SOCS2;PAQR7;LINC01474;SPAG16;MUC1;PAN3;PARP8;MMP19;LDB2;LRRN2;MARK4;SELP;RTCB;GCSH;NUP93;SET;AP1G1;CHCHD6;IPP;SEMA3B;LENG8;MXRA8;TBXAS1;SERPINB9;ZBTB4;RXFP1;AC116407.1;CYP7A1;ECSCR;ADSSL1;MEF2B;RASGRP1;UBAP1L;TACSTD2;PTCH2	0.0228260129444323	0.0141660556985259	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_040	C5orf66;GYS2;FPR1;SLC25A24;FCGBP;ABCA7;LXN;VIPR1;PPIL4;AC004951.1;REST;CNTN4;PPP2R5A;ATP6AP2;ELF2;WDR83OS;TCF4;LMCD1;L3MBTL4;OAS2;WWP1;MME;AC020916.1;RAMP3;LHFPL6;BACH1-IT2;AL118558.4;PALM2-AKAP2;OSTF1;AFAP1;LIMCH1;PKIA;BCAS4;AC027682.6;LSMEM1	0.0261148844880459	0.0145684279093859	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_041	GYS2;TRIM22;TFPI2;HSPB2;IGSF6;MMP9;CKMT2-AS1;ASPG;TENT4B;C5orf49;FBXL3;ZNF575;DNAJB9;CRTAP;SPHK1;IDH2;PRPF38B;CORO7;ENPP3;SPTLC3;CXCL16;FGL2;RAC2;FOLR2;HDAC7;AC109347.1;NSMCE1-DT;AQP3;IL7R;PLEKHG1;DCLRE1C;ZNF423;SUSD3;GPR143;LRRC29	0.0219448861378506	0.0185463984000865	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_042	JDP2;LAIR1;EBF1;DOK2;LAMA2;MLH3;ITGA3;ADAMTS10;ETV6;AC025171.1;UTP11;TNFAIP8L2;SLC27A2;ALDH7A1;THBD;PGAM1;TMEM263;GJA1;SHPRH;SCAF4;ITPR2;COL15A1;CARD16;EPM2AIP1;CCND2;AC107464.3;AC120049.1;CTSK;MAMDC4;CD27-AS1;LINC01018;CH25H;AC004889.1;STAB2;ZNF283	0.0118164831749481	0.0133976794834522	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_043	ADAMTS13;CDK18;HMBOX1;FGR;LILRB2;DGKA;FGD3;ZC3H12A;IL2RG;SOWAHD;CTCF;CNFN;SNX6;QSOX1;PPIH;NDUFB10;EHD2;CIAO3;GUCY1A2;SAP25;CDIPT;RNF20;ACMSD;PLEKHA2;SRD5A2;AL606970.1;LINC01214;PHLDA3;ARMCX6;DTX1;IL3RA;B3GNT3;BIN2;MCC;LRRC29	0.0462418534258451	0.0217143986786048	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_044	AOAH;JAML;CD163L1;GIMAP1;SP140L;MECP2;AMOTL2;GLIS2;SSH1;MOV10L1;MXI1;CCR7;PTK2;SRSF5;BBIP1;UGP2;TFE3;LMCD1;SLIT3;TRIM22;TRIM44;SLC22A9;ENTPD1;UNC93A;SLC25A42;LINC01750;SOX2-OT;FSTL3;RGS10;LINC01151;AC004233.2;PROM1;IRF5;TNRC6C-AS1;HIST1H2BN	0.0196776571210223	0.0274305523496953	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
GSE238264	RANDOM_045	ANTXR1;MERTK;TMEM159;SLCO2A1;ITM2A;NMI;ITGA3;CEP120;RAC2;PBX4;TMEM47;CD22;BUD31;LGMN;TENT4B;ASPH;NRIP1;CSRNP1;MITF;MSH3;STAT6;SLC22A9;TMOD1;IGFBP6;PURA;LINC01214;MIR181A2HG;CD4;LAIR1;CD69;AC004233.2;GSTM5;SLCO3A1;TAGAP;SMIM2-AS1	0.0226322850494003	0.017501513552054	0.0344799563703572	0.0514196989506272	35	200	standardized log10 mean-expression + standardized logit detection; no bins; no replacement within program	20260829	FALSE
