status	beta_conditional	n_spots	n_regions	model_rank	residual_df	plot_unit	response	marker	role	formula_contract	inference_unit	record_status	biological_unit	adjacent_section_status	semantic_boundary
ESTIMATED	-0.152274641433798	316	2	6	310	U001	Responder	Ki67	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0106402982666261	992	2	6	986	U002	Nonresponder	Ki67	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.151121613342178	510	2	6	504	U003	Nonresponder	Ki67	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0315954068213888	705	2	6	699	U004	Nonresponder	Ki67	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.13148939555757	627	2	6	621	U005	Responder	Ki67	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.101150771573378	228	1	5	223	U006	Nonresponder	Ki67	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.152423018853487	369	1	5	364	U007	Responder	Ki67	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.205047447500596	397	2	6	391	U008	Responder	Ki67	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0318924853233739	565	1	5	560	U009	Nonresponder	Ki67	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0783740101665245	496	2	6	490	U010	Nonresponder	Ki67	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.209560428604799	316	2	6	310	U001	Responder	IFNg	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0413871040592799	992	2	6	986	U002	Nonresponder	IFNg	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0467038644609952	510	2	6	504	U003	Nonresponder	IFNg	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0643559223558094	705	2	6	699	U004	Nonresponder	IFNg	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.104518073963272	627	2	6	621	U005	Responder	IFNg	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0240837773293764	228	1	5	223	U006	Nonresponder	IFNg	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.118265605201228	369	1	5	364	U007	Responder	IFNg	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.201830680112831	397	2	6	391	U008	Responder	IFNg	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.120691228683758	565	1	5	560	U009	Nonresponder	IFNg	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0417950230350307	496	2	6	490	U010	Nonresponder	IFNg	primary_new	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.211716006972662	316	2	6	310	U001	Responder	TOX	frozen_anchor_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0470554681379889	992	2	6	986	U002	Nonresponder	TOX	frozen_anchor_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0425487687488225	510	2	6	504	U003	Nonresponder	TOX	frozen_anchor_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0349193625453816	705	2	6	699	U004	Nonresponder	TOX	frozen_anchor_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0169280981284425	627	2	6	621	U005	Responder	TOX	frozen_anchor_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0381017164159337	228	1	5	223	U006	Nonresponder	TOX	frozen_anchor_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.152761934004705	369	1	5	364	U007	Responder	TOX	frozen_anchor_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.13089470980321	397	2	6	391	U008	Responder	TOX	frozen_anchor_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.189691784243914	565	1	5	560	U009	Nonresponder	TOX	frozen_anchor_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0316196783331639	496	2	6	490	U010	Nonresponder	TOX	frozen_anchor_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.221013864452124	316	2	6	310	U001	Responder	FOXP3	regulatory_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0021050595230643	992	2	6	986	U002	Nonresponder	FOXP3	regulatory_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0434035074785661	510	2	6	504	U003	Nonresponder	FOXP3	regulatory_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0873781253886732	705	2	6	699	U004	Nonresponder	FOXP3	regulatory_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0338530435932076	627	2	6	621	U005	Responder	FOXP3	regulatory_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.108379411192381	228	1	5	223	U006	Nonresponder	FOXP3	regulatory_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.291004316822208	369	1	5	364	U007	Responder	FOXP3	regulatory_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.180311370915191	397	2	6	391	U008	Responder	FOXP3	regulatory_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.159202620817725	565	1	5	560	U009	Nonresponder	FOXP3	regulatory_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0418626822673111	496	2	6	490	U010	Nonresponder	FOXP3	regulatory_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.1235559167343	316	2	5	311	U001	Responder	T_cell_fraction	abundance_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.142705380877681	992	2	5	987	U002	Nonresponder	T_cell_fraction	abundance_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0554619105439096	510	2	5	505	U003	Nonresponder	T_cell_fraction	abundance_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.256014648174033	705	2	5	700	U004	Nonresponder	T_cell_fraction	abundance_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.325023497665567	627	2	5	622	U005	Responder	T_cell_fraction	abundance_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.299561192245013	228	1	4	224	U006	Nonresponder	T_cell_fraction	abundance_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.215337071369302	369	1	4	365	U007	Responder	T_cell_fraction	abundance_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0621721747293759	397	2	5	392	U008	Responder	T_cell_fraction	abundance_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.20300209206766	565	1	4	561	U009	Nonresponder	T_cell_fraction	abundance_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.113347801889027	496	2	5	491	U010	Nonresponder	T_cell_fraction	abundance_comparator_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0361740480460979	316	2	6	310	U001	Responder	CD3	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0187141178866957	992	2	6	986	U002	Nonresponder	CD3	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.202102145767874	510	2	6	504	U003	Nonresponder	CD3	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.00982255804956031	705	2	6	699	U004	Nonresponder	CD3	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0729832195994906	627	2	6	621	U005	Responder	CD3	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0315164628844474	228	1	5	223	U006	Nonresponder	CD3	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.182348180763134	369	1	5	364	U007	Responder	CD3	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.320125310939698	397	2	6	391	U008	Responder	CD3	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0803144349210145	565	1	5	560	U009	Nonresponder	CD3	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0369863995978227	496	2	6	490	U010	Nonresponder	CD3	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.140108223939383	316	2	6	310	U001	Responder	CD4	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.11487992017055	992	2	6	986	U002	Nonresponder	CD4	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0850679775390439	510	2	6	504	U003	Nonresponder	CD4	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.00792125816077637	705	2	6	699	U004	Nonresponder	CD4	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.0136458609177753	627	2	6	621	U005	Responder	CD4	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	-0.120347311238821	228	1	5	223	U006	Nonresponder	CD4	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
ESTIMATED	0.0773631467726347	369	1	5	364	U007	Responder	CD4	abundance_context_not_gate_counted	z(outcome)~z(conditional_ST)+z(broad_immune)+z(T_cell_fraction)+z(log1p(mapped_cells))+region	patient; region fixed effects within patient	existing frozen patient coefficient	patient	released adjacent-section ST-CODEX tissue-context association	contextual coefficient; not identical-cell colocalization; no BR1 response test
