Figure	Panel	Table	Description	Units	Biological_replicate	Source_dataset
1	G	derived_data/publication_source_tables/G1_RANDOM_REFERENCES.tsv	GSE314342 primary human CD4 T-cell CRISPRi data from four donors at rest and after 8 or 48 h stimulation	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	Primary human CD4 PTPN22 CRISPRi; original author-defined effects
1	H	derived_data/publication_source_tables/G2_GENOTYPE_EFFECT.tsv	GSE94859 PTPN22 R620W experiment comparing activated-minus-naive AF35 between CC and TT groups	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE94859
1	H	derived_data/publication_source_tables/G2_DONORS.tsv	GSE94859 PTPN22 R620W experiment comparing activated-minus-naive AF35 between CC and TT groups	Patient-level association; covariance, program shifts or log1p(CP10K) as labelled	Patient/sample/donor; cells/spots/regions nested	GSE94859
2	A	derived_data/publication_source_tables/S03_01.tsv	Measurement bridge from PTPN22-associated T-cell state context to distributed gene representation and the AF35 measurement unit.	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	A	derived_data/publication_source_tables/S03_04.tsv	Measurement bridge from PTPN22-associated T-cell state context to distributed gene representation and the AF35 measurement unit.	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	A	derived_data/publication_source_tables/FIGURE1_DISPLAY_UMAP_COORDINATES_V1.tsv	Measurement bridge from PTPN22-associated T-cell state context to distributed gene representation and the AF35 measurement unit.	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	A	derived_data/publication_source_tables/FIGURE1_MARKER_UMAP_VALUES_V1.tsv	Measurement bridge from PTPN22-associated T-cell state context to distributed gene representation and the AF35 measurement unit.	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	A	derived_data/publication_source_tables/FIGURE1_STATE_PROGRAM_ASSOCIATION_PLOT_READY.tsv	Measurement bridge from PTPN22-associated T-cell state context to distributed gene representation and the AF35 measurement unit.	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	B	derived_data/publication_source_tables/AF35_FUNCTIONAL_ROLE_ANNOTATION.tsv	Fixed membership grouped by TCR, feedback, scaffold, NF-κB, interferon, output/cytotoxic and checkpoint-related roles, with member-level PTPN22 Spearman correlations in ERP117672 (ERP) and GSE302495 (GSE).	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	B	derived_data/publication_source_tables/AF35_PTPN22_GENE_COUPLING.tsv	Fixed membership grouped by TCR, feedback, scaffold, NF-κB, interferon, output/cytotoxic and checkpoint-related roles, with member-level PTPN22 Spearman correlations in ERP117672 (ERP) and GSE302495 (GSE).	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	C	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_GENE_CORRELATION_ERP117672.tsv	Within-cohort 35-member correlation matrices; dashes mark negative correlations.	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	C	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_GENE_CORRELATION_GSE302495.tsv	Within-cohort 35-member correlation matrices; dashes mark negative correlations.	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	D	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_COVARIANCE_VECTORS.tsv	Concordance of all 595 gene-pair correlations between cohorts (Pearson r=0.711; Spearman rho=0.713).	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	D	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_CROSS_COHORT.tsv	Concordance of all 595 gene-pair correlations between cohorts (Pearson r=0.711; Spearman rho=0.713).	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	E	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_WITHIN_COHORT_SUMMARY.tsv	Median pairwise correlation, PC1 variance, split-half correlation and Spearman–Brown reliability.	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	E	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_PCA.tsv	Median pairwise correlation, PC1 variance, split-half correlation and Spearman–Brown reliability.	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	E	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_SPLIT_HALF.tsv	Median pairwise correlation, PC1 variance, split-half correlation and Spearman–Brown reliability.	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	F	derived_data/publication_source_tables/S06_01.tsv	Single-member omission performed without outcome labels in ERP117672 (40 molecular samples) and GSE302495 (38 molecular samples)	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	G	derived_data/publication_source_tables/S06_02.tsv	Random-member dropout without outcome labels at 10%, 20% and 30% (4, 7 and 11 removed genes), using 1,000 draws per level and cohort	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	H	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_RANDOM_REFERENCE_RESULTS.tsv	AF35 internal-structure metrics relative to 2,000 expression- and detection-matched random programs per cohort	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
2	H	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_RANDOM_REFERENCE_SUMMARY.tsv	AF35 internal-structure metrics relative to 2,000 expression- and detection-matched random programs per cohort	Dimensionless correlation, variance/reliability or score fidelity; fixed membership	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
3	A	derived_data/publication_source_tables/S07_05.tsv	GSE235863 design and exact transcriptome/TCR linkage	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	A	derived_data/publication_source_tables/S07_07.tsv	GSE235863 design and exact transcriptome/TCR linkage	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	A	derived_data/publication_source_tables/GSE235863_CLONE_PATIENT_SUMMARIES.tsv	GSE235863 design and exact transcriptome/TCR linkage	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	B	derived_data/publication_source_tables/GSE235863_EXACT_LINKED_TCELL_ATLAS.tsv	The linked-cell atlas with 20 released T-cell states, AF35 and selected functional programs.	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	B	derived_data/publication_source_tables/GSE235863_FROZEN_PROGRAM_CELL_SCORES.tsv	The linked-cell atlas with 20 released T-cell states, AF35 and selected functional programs.	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	B	derived_data/publication_source_tables/GSE235863_STATE_PROGRAM_MATRIX.tsv	The linked-cell atlas with 20 released T-cell states, AF35 and selected functional programs.	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	B	derived_data/publication_source_tables/AF35_STATE_FROZEN_SCORE_SUMMARY.tsv	The linked-cell atlas with 20 released T-cell states, AF35 and selected functional programs.	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	C	derived_data/publication_source_tables/F3D_EQUAL_PATIENT_DISPLAY_VALUES.tsv	Equal-patient state fractions for singleton/expanded, nonpersistent/persistent and not-later-observed/later-observed contexts.	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	D	derived_data/publication_source_tables/S07_01.tsv	Patient-level AF35 contrasts shown as unadjusted, same-support and state-adjusted estimates, with 10,000-draw patient-bootstrap percentile 95% intervals	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	D	derived_data/publication_source_tables/S07_02.tsv	Patient-level AF35 contrasts shown as unadjusted, same-support and state-adjusted estimates, with 10,000-draw patient-bootstrap percentile 95% intervals	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	D	derived_data/publication_source_tables/S07_03.tsv	Patient-level AF35 contrasts shown as unadjusted, same-support and state-adjusted estimates, with 10,000-draw patient-bootstrap percentile 95% intervals	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	D	derived_data/publication_source_tables/S07_05.tsv	Patient-level AF35 contrasts shown as unadjusted, same-support and state-adjusted estimates, with 10,000-draw patient-bootstrap percentile 95% intervals	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	D	derived_data/publication_source_tables/S07_06.tsv	Patient-level AF35 contrasts shown as unadjusted, same-support and state-adjusted estimates, with 10,000-draw patient-bootstrap percentile 95% intervals	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	D	derived_data/publication_source_tables/S07_07.tsv	Patient-level AF35 contrasts shown as unadjusted, same-support and state-adjusted estimates, with 10,000-draw patient-bootstrap percentile 95% intervals	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	D	derived_data/publication_source_tables/S07_08.tsv	Patient-level AF35 contrasts shown as unadjusted, same-support and state-adjusted estimates, with 10,000-draw patient-bootstrap percentile 95% intervals	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	E	derived_data/publication_source_tables/S08_02.tsv	Hierarchical patient-level AF35 decomposition in peripheral blood (R−NR; 4 R/3 NR): Overall=Occupancy+Within-state+Interaction, and Occupancy=Clone-equal+Clone-size	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	E	derived_data/publication_source_tables/S08_03.tsv	Hierarchical patient-level AF35 decomposition in peripheral blood (R−NR; 4 R/3 NR): Overall=Occupancy+Within-state+Interaction, and Occupancy=Clone-equal+Clone-size	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	E	derived_data/publication_source_tables/S08_07.tsv	Hierarchical patient-level AF35 decomposition in peripheral blood (R−NR; 4 R/3 NR): Overall=Occupancy+Within-state+Interaction, and Occupancy=Clone-equal+Clone-size	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	F	derived_data/publication_source_tables/S08_05.tsv	Pretreatment AF35-weighted occupancy calculated from state occupancy and fixed state-specific AF35 coefficients using cell-weighted and clone-equal summaries.	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	G	derived_data/publication_source_tables/AF35_M2_PATIENT_TIMEPOINT_COMPONENTS_RESPONSE_BLIND.tsv	Paired pretreatment-to-later AF35-weighted occupancy trajectories in seven patients.	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
3	H	derived_data/publication_source_tables/S08_04.tsv	R−NR contrasts for later-minus-pretreatment changes in cell-weighted, clone-equal, clone-size and shared-clone summaries	AF35 native projection/state-occupancy units; PTPN22 delta log1p(CP10K); fractions	Patient/sample/donor; cells/spots/regions nested	GSE235863
4	A	derived_data/publication_source_tables/WU_SELECTED_SAMPLE_ST_LAYERS_PLOT_READY.tsv	Conditional AF35 residual map from a Wu pretreatment section with H&E, tissue annotation, broad-immune score and unadjusted AF35	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	B	derived_data/publication_source_tables/F4B_COORDINATE_SOURCE_RECORD.tsv	Whole-field display of 14 CODEX identities and lymphoid-context enlargements of the two indicated ROIs, highlighting B, CD4 T and CD8 T cells while retaining other identities as positional context	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	C	derived_data/publication_source_tables/S09_01.tsv	Conditional AF35 maps and patient summaries for GSE238264 (4 R/3 NR) and Wu (5 R/6 NR)	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	C	derived_data/publication_source_tables/WU_SAVED_RESIDUAL_SPOTS_EXPORT.tsv	Conditional AF35 maps and patient summaries for GSE238264 (4 R/3 NR) and Wu (5 R/6 NR)	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	C	derived_data/publication_source_tables/F5C_GSE_FROZEN_RESIDUAL_SPOTS.tsv	Conditional AF35 maps and patient summaries for GSE238264 (4 R/3 NR) and Wu (5 R/6 NR)	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	D	derived_data/publication_source_tables/S09_01.tsv	Cohort mean Moran I and responder-minus-nonresponder difference	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	D	derived_data/publication_source_tables/F5D_SAVED_CONDITIONAL_RANDOM_DRAWS.tsv	Cohort mean Moran I and responder-minus-nonresponder difference	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	E	derived_data/publication_source_tables/S09_02.tsv	Responder-minus-nonresponder difference in the patient-level neighboring-residual contrasts	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	F	derived_data/publication_source_tables/S10_03.tsv	Complete 14-identity-by-10-patient high-minus-low composition matrix for the Wu adjacent-section subset, with mean percentage-point difference and BH q.	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	F	derived_data/publication_source_tables/WU_MICROENVIRONMENT_CELL_TYPE_PATIENT_ROWS.tsv	Complete 14-identity-by-10-patient high-minus-low composition matrix for the Wu adjacent-section subset, with mean percentage-point difference and BH q.	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	G	derived_data/publication_source_tables/S10_02.tsv	Complete 10-patient-by-nine-marker adjusted β matrix.	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	H	derived_data/publication_source_tables/S10_01.tsv	DC–CD8 topology across 17 regions from ten patients and the complete native 19-code family boundary	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	H	derived_data/publication_source_tables/S10_04.tsv	DC–CD8 topology across 17 regions from ten patients and the complete native 19-code family boundary	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	H	derived_data/publication_source_tables/S10_05.tsv	DC–CD8 topology across 17 regions from ten patients and the complete native 19-code family boundary	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
4	H	derived_data/publication_source_tables/S10_06.tsv	DC–CD8 topology across 17 regions from ten patients and the complete native 19-code family boundary	Conditional Moran I; neighborhood residual; composition fractions/percentage points; marker beta; topology contrast	Patient/sample/donor; cells/spots/regions nested	GSE238264; Wu Zenodo 19123188
5	A	derived_data/publication_source_tables/S11_05.tsv	Pretreatment PTPN22 and AF35 distributions in ERP117672 (35 response-evaluable patients; 6 R/29 NR) and GSE302495 (38 patients; 12 R/26 NR), with responder-minus-nonresponder Hedges' *g* and patient-bootstrap 95% intervals	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	A	derived_data/publication_source_tables/S11_06.tsv	Pretreatment PTPN22 and AF35 distributions in ERP117672 (35 response-evaluable patients; 6 R/29 NR) and GSE302495 (38 patients; 12 R/26 NR), with responder-minus-nonresponder Hedges' *g* and patient-bootstrap 95% intervals	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	A	derived_data/publication_source_tables/S11_10.tsv	Pretreatment PTPN22 and AF35 distributions in ERP117672 (35 response-evaluable patients; 6 R/29 NR) and GSE302495 (38 patients; 12 R/26 NR), with responder-minus-nonresponder Hedges' *g* and patient-bootstrap 95% intervals	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	B	derived_data/publication_source_tables/S11_05.tsv	Patient-level unadjusted and broad-immune-residual score context.	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	B	derived_data/publication_source_tables/S11_06.tsv	Patient-level unadjusted and broad-immune-residual score context.	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	B	derived_data/publication_source_tables/S11_07.tsv	Patient-level unadjusted and broad-immune-residual score context.	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	C	derived_data/publication_source_tables/S12_01.tsv	Clinical single-member ablation: change in Hedges' *g* after omitting each AF35 member.	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	D	derived_data/publication_source_tables/S12_02.tsv	Clinical random dropout at 10%, 20%, 30%, 40% and 50% (4, 7, 11, 14 and 18 removed genes; 1,000 draws per level and cohort)	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	D	derived_data/publication_source_tables/S12_03.tsv	Clinical random dropout at 10%, 20%, 30%, 40% and 50% (4, 7, 11, 14 and 18 removed genes; 1,000 draws per level and cohort)	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	E	derived_data/publication_source_tables/S13_02.tsv	AF35 relative to 2,000 matched random programs per cohort.	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	E	derived_data/publication_source_tables/S13_03.tsv	AF35 relative to 2,000 matched random programs per cohort.	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	E	derived_data/publication_source_tables/S13_04.tsv	AF35 relative to 2,000 matched random programs per cohort.	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	F	derived_data/publication_source_tables/S13_02.tsv	Cross-cohort unadjusted matched-program reference space using the same 2,000 program identities; residual effects are not displayed in this panel	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	G	derived_data/publication_source_tables/S11_07.tsv	AF35 responder–nonresponder Hedges' g before and after broad-immune residualization.	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	G	derived_data/publication_source_tables/S11_08.tsv	AF35 responder–nonresponder Hedges' g before and after broad-immune residualization.	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	H	derived_data/publication_source_tables/S11_11.tsv	Conditional Firth logistic-regression profiles; each model contains one comparator plus PTPN22 or AF35.	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	ERP117672; GSE302495
5	I	derived_data/publication_source_tables/S11_12.tsv	Unadjusted and broad-immune-residual Hedges' *g* in the non-ICI GSE104580 TACE cohort	Hedges g; comparator-conditional odds ratio; program percentile	Patient/sample/donor; cells/spots/regions nested	GSE104580
5	A	derived_data/publication_source_tables/S11_02.tsv	GSE302495 endpoint map joined to S11_06 by neutral plot_unit	Response classification; percent target-lesion change	Patient	GSE302495
5	B	derived_data/publication_source_tables/S11_02.tsv	GSE302495 endpoint map joined to S11_06 by neutral plot_unit	Response classification; percent target-lesion change	Patient	GSE302495
