input_id	analysis_id	script	input_expression	identity	sha256	classification	included_file	upstream_script	public_source	reason	status
IO0011	A001	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	read(A / 'AF35_ORDERED_GENES.tsv')	AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/inputs/AF35_ORDERED_GENES.tsv	94c9fcfc9fb5a7247d594ad4cc6109db3a0ffa2cfcec1e9e1c9795becc8370a4	UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0012	A001	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	read(G / 'inputs/BROAD_IMMUNE_GENES.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0013	A001	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	read(A / f'{c}_GENE_Z_AND_FULL_SCORES_RESPONSE_BLIND.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0014	A001	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	read(H / f'inputs/{c}_GENE_Z_RESPONSE_BLIND.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0015	A001	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	read(H / f'inputs/{c}_PATIENT_IDS.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0016	A001	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	read(B / 'AF35_ORDERED_GENES.tsv')	AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/inputs/AF35_ORDERED_GENES.tsv	94c9fcfc9fb5a7247d594ad4cc6109db3a0ffa2cfcec1e9e1c9795becc8370a4	UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0017	A001	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	read(G / f'inputs/{c}_PATIENT_IDS.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0040	A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	read(OUT / 'AF35_GENE_NUMBER_SUBSET_MANIFEST.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0041	A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	read(OUT / 'AF35_GENE_NUMBER_RESPONSE_BLIND_SCORES.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0042	A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	read(OUT / 'AF35_STRUCTURED_REFERENCE_RESPONSE_BLIND_SCORES.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0043	A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	read(OUT / 'AF35_GENE_NUMBER_SCORE_STABILITY.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0044	A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	(OUT / (P + '_FREEZE_LOCK.json')).read_text(encoding='utf-8')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0045	A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	read(B / 'AF35_MATCHED_NULL_PROGRAM_EFFECTS.tsv')	AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/AF35_MATCHED_NULL_PROGRAM_EFFECTS.tsv	15ccdae92f0984467457c529f1abf404c1a848ff6edc8a82d805b2052e31d7e7	UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0046	A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	read(OUT / 'AF35_STRUCTURED_REFERENCE_SELECTED_200.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0047	A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	read(A / f'{c}_ANALYSIS_PATIENT_VALUES.tsv', usecols=['patient_id', 'response'])	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0048	A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	read(base / 'COMPLETE_SHA256_MANIFEST.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0049	A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	read(OUT / f'inputs/{c}_PATIENT_IDS.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0063	A003	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	pd.read_csv(p, sep='\t', float_precision='round_trip', **kw)	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0064	A003	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	f.read(2 ** 20)	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0068	A004	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	pd.read_csv(p, sep='\t', **kw)	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0069	A004	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	read(A / 'AF35_ORDERED_GENES.tsv')	AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/inputs/AF35_ORDERED_GENES.tsv	94c9fcfc9fb5a7247d594ad4cc6109db3a0ffa2cfcec1e9e1c9795becc8370a4	UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0070	A004	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	read(base / 'COMPLETE_SHA256_MANIFEST.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0071	A004	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	read(E / f'inputs/{c}_MOLECULAR_INPUT_RESPONSE_BLIND.tsv', usecols=['patient_id'])	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0072	A004	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	f.read(2 ** 20)	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0073	A004	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	read(B / 'AF35_ORDERED_GENES.tsv')	AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/inputs/AF35_ORDERED_GENES.tsv	94c9fcfc9fb5a7247d594ad4cc6109db3a0ffa2cfcec1e9e1c9795becc8370a4	UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0074	A004	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	read(E / 'SOURCE_BINDINGS.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0075	A004	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	(base / lock).read_text()	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0084	A005	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	f.read(OUT / (P + '_RESPONSE_BLIND_PATIENT_VALUES.tsv'))	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0085	A005	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	f.read(OUT / (P + '_LOO_RESPONSE_BLIND_PATIENT_VALUES.tsv'))	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0086	A005	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	(OUT / (P + '_FREEZE_LOCK.json')).read_text(encoding='utf-8')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0087	A005	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	f.read(path, usecols=['patient_id', 'response', 'AF35'])	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0088	A005	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	(OUT / (P + '_OUTCOME_JOIN_TIMESTAMP.txt')).read_text()	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0089	A005	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	f.read(target)	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0097	A006	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	jl(OUT / (P + '_FREEZE_LOCK.json'))	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0098	A006	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	read(OUT / 'inputs/PRETREATMENT_ELIGIBLE_CELLS_RESPONSE_BLIND.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0099	A006	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	read(OUT / (P + '_PATIENT_COMPONENTS_RESPONSE_BLIND.tsv'))	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0100	A006	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	read(OUT / 'AF35_STATE_OCCUPANCY_MODEL_IDENTIFIABILITY.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0101	A006	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	read(source, usecols=['patient', 'response_group'])	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0108	A007	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	read(OUT / (P + '_FEASIBILITY.tsv'))	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0109	A007	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	read(OUT / 'inputs/PATIENT_COMPONENTS_AFTER_RESPONSE_JOIN.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0110	A007	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	read(OUT / 'AF35_PATIENT_STATE_PROPORTIONS.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0111	A007	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	read(OUT / 'AF35_STATE_EFFECTS_RESPONSE_BLIND.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0112	A007	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	read(OUT / 'AF35_STATE_OCCUPANCY_CELLCOUNT_SENSITIVITY_DESIGN.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0113	A007	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	read(OUT / 'inputs/CAPPED_PATIENT_COMPONENTS_RESPONSE_BLIND.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0119	A008	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	pd.read_csv(p, sep='\t', float_precision='round_trip', **kw)	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0120	A008	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	Path(p).read_text(encoding='utf-8')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0124	A009	scripts/current/06_clinical/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	jl(OUT / (P + '_FREEZE_LOCK.json'))	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0125	A009	scripts/current/06_clinical/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	read(K / 'COMPLETE_SHA256_MANIFEST.tsv')	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
IO0126	A009	scripts/current/06_clinical/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	read(label_source, usecols=['patient', 'response_group', 'response'])	UNRESOLVED_EXPRESSION		UNRESOLVED			data/SOURCE_DATA_MANIFEST.tsv	Filename evidence only; variable binding, upstream production, freeze guards and public acquisition contract not fully verified. No data copied.	EXCLUDED_FROM_ACTIVE_RELEASE
