analysis_id	main_or_supp	figure_table_panel	dataset	biological_unit	active_script	config_file	raw_or_source_input	derived_input	input_hash	primary_output	output_hash	source_table	source_table_hash	environment	notes
MAIN_2C	Main	Figure 2C	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf	1f4d09f3d7cf7f1b7cb2a444aaeae01aa260c478173ad979b7a2893bcfb745aa	AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/AF35_PROGRAM_COHERENCE_GENE_CORRELATION_ERP117672.tsv | AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/AF35_PROGRAM_COHERENCE_GENE_CORRELATION_GSE302495.tsv	0d45783bb520b7fc8cd38bbd44cbeff2499320d7d2239df7220bd30692cd201c | 0bc7e4ef82d752f535399f4e99e53e7f385f272cd8dda4ad711bb5dcf60c440f	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_2D	Main	Figure 2D	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf	1f4d09f3d7cf7f1b7cb2a444aaeae01aa260c478173ad979b7a2893bcfb745aa	AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/AF35_PROGRAM_COHERENCE_CROSS_COHORT.tsv	745d94ee61dea4304a8d4a8f17b0aa8318f0a30306a881f22e1aeec31d928477	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_2E	Main	Figure 2E	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf	1f4d09f3d7cf7f1b7cb2a444aaeae01aa260c478173ad979b7a2893bcfb745aa	AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/AF35_PROGRAM_COHERENCE_PCA.tsv | AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/AF35_PROGRAM_COHERENCE_SPLIT_HALF.tsv	73b69993a79e80799c900c6041f527fc7738d58a7f75d32c04a5f32598b452e0 | 308a67bec0ac0cb384464a3da3bebc894dcb7b2d259b0c4da2f39cb232abe3eb	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Missing named evidence: AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/AF35_PROGRAM_COHERENCE_SUMMARY.tsv. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_2F	Main	Figure 2F	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf	1f4d09f3d7cf7f1b7cb2a444aaeae01aa260c478173ad979b7a2893bcfb745aa	HCC_ICI_project/05_results/tables/phase17b_af35_portability/PHASE17B_AF35_LEAVE_ONE_GENE_OUT.tsv	05812dcbcca0ce89a16b6fb5f53c02f47c0fe4eaf6ef9cfb89d1a391ccb03860	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_2G	Main	Figure 2G	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf	1f4d09f3d7cf7f1b7cb2a444aaeae01aa260c478173ad979b7a2893bcfb745aa	HCC_ICI_project/05_results/tables/phase17b_af35_portability/PHASE17B_AF35_RANDOM_DROPOUT_SUMMARY.tsv	b12a663c99a357862bc2b22f54ef2b579f385272c874c071c320cc66aec81304	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_2H	Main	Figure 2H	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf	1f4d09f3d7cf7f1b7cb2a444aaeae01aa260c478173ad979b7a2893bcfb745aa	AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/AF35_PROGRAM_COHERENCE_RANDOM_REFERENCE_SUMMARY.tsv | AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/AF35_PROGRAM_COHERENCE_RANDOM_REFERENCE_RESULTS.tsv	2907681423220cdc70612e6363e5c4d742cbb1beb28f55ad8b4367f0d81d7a64 | af4dd9830cd4be85c1b3e8e59252921940c502647a009de24aa395f39025cdee	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_3A	Main	Figure 3A	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf	e25aaa082c22c275d5c2a38570aa06fb67758482fc0c833bce5e7190b2f6512c	GSE235863_CLONE_STATE_DECOMPOSITION_v1/PAIRED_CDR3_AUTHOR_ID_MERGE_AUDIT.tsv	ecde5102b55107b51e9e13e6aa733d4d147b56841f15c6c54eff43025bd5beab	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_3B	Main	Figure 3B	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf	e25aaa082c22c275d5c2a38570aa06fb67758482fc0c833bce5e7190b2f6512c	UNRESOLVED		environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_3C	Main	Figure 3C	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf	e25aaa082c22c275d5c2a38570aa06fb67758482fc0c833bce5e7190b2f6512c	UNRESOLVED		environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_3D	Main	Figure 3D	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf	e25aaa082c22c275d5c2a38570aa06fb67758482fc0c833bce5e7190b2f6512c	GSE235863_CLONE_STATE_DECOMPOSITION_v1/authority/05_results/tables/phase19a_af35_clonotype/AF35_EXPANDED_SINGLETON_PATIENT_EFFECTS.tsv | GSE235863_CLONE_STATE_DECOMPOSITION_v1/authority/05_results/tables/phase19a_af35_clonotype/AF35_PERSISTENT_NONPERSISTENT_PATIENT_EFFECTS.tsv | GSE235863_CLONE_STATE_DECOMPOSITION_v1/authority/05_results/tables/phase19a_af35_clonotype/AF35_BASELINE_TO_FUTURE_OBSERVED_PATIENT_EFFECTS.tsv | GSE235863_CLONE_STATE_DECOMPOSITION_v1/CLONE_STATE_EFFECT_SUMMARY.tsv | HCC_ICI_project/05_results/tables/phase3/GSE235863_WITHIN_PATIENT_CLONAL_ASSOCIATIONS.tsv | HCC_ICI_project/05_results/tables/temporal/PTPN22_TEMPORAL_SENSITIVITY.tsv	5ec50d0657b9b2941fe7056b72edecf7ed1320357053f14bb9e9ce59182bfec9 | 7eeee584d89a7710bd51854e97051879cb46223df092b1f7e0003e690751ee50 | 2129a457d60fa91e16435b02527006684a6bd3e37d1ad9e8a8913cac75be8f71 | c3953c19c21e2a37932cd2ddedfe24619276876120ae2a1b8fe01adce11bb6f6 | b45a0085ad19977e6f3b65c7e3ce216f1aa5d37d2ca5723e4a3f719543bd4920 | ed994fcb0de9d5672a057a777695f1fa621a70b1c4c84f31e9d17b6240915422	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_3E	Main	Figure 3E	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf	e25aaa082c22c275d5c2a38570aa06fb67758482fc0c833bce5e7190b2f6512c	AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/AF35_STATE_OCCUPANCY_BOOTSTRAP_SUMMARY.tsv	4c8d7a12ccb2b9394d9998d2d5bb5a9d0ec39e2469b4555de712912d3d0e5422	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
MAIN_3F	Main	Figure 3F	See source table and data/SOURCE_DATA_MANIFEST.tsv; panel-specific input contract unresolved	Patient/sample; cells/regions are nested observations where applicable	UNRESOLVED_NO_APPROVED_CURRENT_ENTRYPOINT	config/ANALYSIS_PARAMETER_MANIFEST.tsv	UNRESOLVED_PUBLIC_ACQUISITION_CONTRACT	NOT_REDISTRIBUTED_OR_UNRESOLVED		新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf	e25aaa082c22c275d5c2a38570aa06fb67758482fc0c833bce5e7190b2f6512c	AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/AF35_CLONE_NEUTRALIZATION_CLINICAL_DECOMPOSITION.tsv	77daff8705363ada478b53fba4c496b2d554fd37d0b850492bc5e419d1031557	environment/; historical records only; complete locked environment unavailable	Whole-figure PDF hash identifies the frozen container, not a separately cropped panel. Support-table associations require exact panel-value and producer closure. Source-table paths are original-workspace-relative evidence identifiers, not shipped paths. Candidate code evidence in SOURCE_SCRIPT_EVIDENCE.tsv; display code is not a numerical producer.
