analysis_id	main_or_supp	figure_table_panel	status	source_table_identified	analysis_script_verified	fixed_input_verified	environment_verified	claim_supporting	missing_link
MAIN_4B	Main	Figure 4B	TRACE_INCOMPLETE	NO	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_4C	Main	Figure 4C	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_4D	Main	Figure 4D	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_4E	Main	Figure 4E	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_4F	Main	Figure 4F	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_4G	Main	Figure 4G	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_4H	Main	Figure 4H	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_5A	Main	Figure 5A	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_5B	Main	Figure 5B	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_5C	Main	Figure 5C	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_5D	Main	Figure 5D	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_5E	Main	Figure 5E	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_5F	Main	Figure 5F	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_5G	Main	Figure 5G	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_5H	Main	Figure 5H	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
MAIN_5I	Main	Figure 5I	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S01_01	Supplement	Table S1 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S01_02	Supplement	Table S1 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S02_01	Supplement	Table S2 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S02_02	Supplement	Table S2 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S03_01	Supplement	Table S3 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S03_02	Supplement	Table S3 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S03_03	Supplement	Table S3 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S03_04	Supplement	Table S3 part 4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S04_01	Supplement	Table S4 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S04_02	Supplement	Table S4 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S04_03	Supplement	Table S4 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S04_04	Supplement	Table S4 part 4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S04_05	Supplement	Table S4 part 5	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_01	Supplement	Table S5 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_02	Supplement	Table S5 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_03	Supplement	Table S5 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_04	Supplement	Table S5 part 4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_05	Supplement	Table S5 part 5	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_06	Supplement	Table S5 part 6	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_07	Supplement	Table S5 part 7	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_08	Supplement	Table S5 part 8	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_09	Supplement	Table S5 part 9	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_10	Supplement	Table S5 part 10	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_11	Supplement	Table S5 part 11	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_12	Supplement	Table S5 part 12	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_13	Supplement	Table S5 part 13	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_14	Supplement	Table S5 part 14	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_15	Supplement	Table S5 part 15	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S05_16	Supplement	Table S5 part 16	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S06_01	Supplement	Table S6 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S06_02	Supplement	Table S6 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S06_03	Supplement	Table S6 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S06_04	Supplement	Table S6 part 4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S06_05	Supplement	Table S6 part 5	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S06_06	Supplement	Table S6 part 6	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S06_07	Supplement	Table S6 part 7	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S06_08	Supplement	Table S6 part 8	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S07_01	Supplement	Table S7 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S07_02	Supplement	Table S7 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S07_03	Supplement	Table S7 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S07_04	Supplement	Table S7 part 4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S07_05	Supplement	Table S7 part 5	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S07_06	Supplement	Table S7 part 6	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S07_07	Supplement	Table S7 part 7	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S07_08	Supplement	Table S7 part 8	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S08_01	Supplement	Table S8 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S08_02	Supplement	Table S8 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S08_03	Supplement	Table S8 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S08_04	Supplement	Table S8 part 4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S08_05	Supplement	Table S8 part 5	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S08_06	Supplement	Table S8 part 6	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S08_07	Supplement	Table S8 part 7	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S09_01	Supplement	Table S9 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S09_02	Supplement	Table S9 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S09_03	Supplement	Table S9 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S09_04	Supplement	Table S9 part 4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S09_05	Supplement	Table S9 part 5	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S10_01	Supplement	Table S10 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S10_02	Supplement	Table S10 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S10_03	Supplement	Table S10 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S10_04	Supplement	Table S10 part 4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S10_05	Supplement	Table S10 part 5	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S10_06	Supplement	Table S10 part 6	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_01	Supplement	Table S11 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_02	Supplement	Table S11 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_03	Supplement	Table S11 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_04	Supplement	Table S11 part 4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_05	Supplement	Table S11 part 5	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_06	Supplement	Table S11 part 6	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_07	Supplement	Table S11 part 7	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_08	Supplement	Table S11 part 8	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_09	Supplement	Table S11 part 9	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_10	Supplement	Table S11 part 10	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_11	Supplement	Table S11 part 11	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_12	Supplement	Table S11 part 12	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S11_13	Supplement	Table S11 part 13	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S12_01	Supplement	Table S12 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S12_02	Supplement	Table S12 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S12_03	Supplement	Table S12 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S13_01	Supplement	Table S13 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S13_02	Supplement	Table S13 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S13_03	Supplement	Table S13 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S13_04	Supplement	Table S13 part 4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S14_01	Supplement	Table S14 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S14_02	Supplement	Table S14 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S14_03	Supplement	Table S14 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S15_01	Supplement	Table S15 part 1	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S15_02	Supplement	Table S15 part 2	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S15_03	Supplement	Table S15 part 3	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S15_04	Supplement	Table S15 part 4	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S15_05	Supplement	Table S15 part 5	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
TABLE_S15_06	Supplement	Table S15 part 6	TRACE_INCOMPLETE	YES	NO	NO	PARTIAL_HISTORICAL_RECORD	YES	Numerical producer and full deterministic upstream input contract not verified; inclusion of output table alone is not closure
