figure	panel	scientific_question	dataset	patient_or_sample_universe	primary_source_table	source_table_sha256	frozen_analysis_script	script_sha256	display_script	display_asset	key_reported_outputs	provenance_status	notes
Figure 2	C	Within-cohort 35-member correlation matrices; dashes mark negative correlations.	ERP117672; GSE302495	ERP117672 40 molecular samples; GSE302495 38; outcome-blind measurement	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_GENE_CORRELATION_ERP117672.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_GENE_CORRELATION_GSE302495.tsv	1031bf37015e06089c61f3a9e19dbeb50d1c8006519cbff34b1030a4a474b280 | 81565410712d75d24d89790ed1007cd0d4841d7746bcc274375b451ea15c8e90	scripts/frozen_originals/03_AF35_measurement/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py	498675b944866f11ea6432b45e059feffbb78ba670d4f1173f043518a91d941b	scripts/display/figure2/figure2.py	新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Within-cohort 35-member correlation matrices; dashes mark negative correlations.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 2	D	Concordance of all 595 gene-pair correlations between cohorts (Pearson r=0.711; Spearman rho=0.713).	ERP117672; GSE302495	ERP117672 40 molecular samples; GSE302495 38; outcome-blind measurement	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_COVARIANCE_VECTORS.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_CROSS_COHORT.tsv	82faf876afc621ee3e3cd494820267c725c2ebc07588ddba6bb1e1b2a91d470b | c308f82c00dcfb4c14fba2af79d03d8445048ba40cf84040f9c4ee5b24b5e0ae	scripts/frozen_originals/03_AF35_measurement/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py	498675b944866f11ea6432b45e059feffbb78ba670d4f1173f043518a91d941b	scripts/display/figure2/figure2.py	新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Concordance of all 595 gene-pair correlations between cohorts (Pearson r=0.711; Spearman rho=0.713).	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 2	E	Median pairwise correlation, PC1 variance, split-half correlation and Spearman–Brown reliability.	ERP117672; GSE302495	ERP117672 40 molecular samples; GSE302495 38; outcome-blind measurement	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_WITHIN_COHORT_SUMMARY.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_PCA.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_SPLIT_HALF.tsv	3a0a48f4ab0dda07f86a066a259c8416fe8d329747cfe89b2e157b328e600afa | ce320a09bbdc12d9e4f779abb2b91cd801ab20319c959b4a56ebaa73ec9bd4ae | df64feedae10b421bacb58a748684a77727c8be97ad734d89c8729caa446ffc0	scripts/frozen_originals/03_AF35_measurement/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py	498675b944866f11ea6432b45e059feffbb78ba670d4f1173f043518a91d941b	scripts/display/figure2/figure2.py	新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Median pairwise correlation, PC1 variance, split-half correlation and Spearman–Brown reliability.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 2	F	Single-member omission performed without outcome labels in ERP117672 (40 molecular samples) and GSE302495 (38 molecular samples)	ERP117672; GSE302495	ERP117672 40 molecular samples; GSE302495 38; outcome-blind measurement	derived_data/publication_source_tables/S06_01.tsv	c21800a66b784d2841e31bf5f84e4f7072f6319f7e4f6b4445091a448043a441	See release/SCRIPT_ARCHIVE_INDEX.tsv; original producer not uniquely certified		scripts/display/figure2/figure2.py	新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Single-member omission performed without outcome labels in ERP117672 (40 molecular samples) and GSE302495 (38 molecular samples). Each point retains 34 of 35 members and shows score-to-full Spearman rho; these reduced scores are sensitivity analyses, not new AF34 signatures.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility.
Figure 2	G	Random-member dropout without outcome labels at 10%, 20% and 30% (4, 7 and 11 removed genes), using 1,000 draws per level and cohort	ERP117672; GSE302495	ERP117672 40 molecular samples; GSE302495 38; outcome-blind measurement	derived_data/publication_source_tables/S06_02.tsv	1e0714ee7a88ef9eecd64db88650ddc77b215b211eefec527c263cdaca8d2087	See release/SCRIPT_ARCHIVE_INDEX.tsv; original producer not uniquely certified		scripts/display/figure2/figure2.py	新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Random-member dropout without outcome labels at 10%, 20% and 30% (4, 7 and 11 removed genes), using 1,000 draws per level and cohort. Solid lines show the median, shading spans the 5th percentile to the median, and dashed lines show the minimum; these summaries are not confidence intervals.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility.
Figure 2	H	AF35 internal-structure metrics relative to 2,000 expression- and detection-matched random programs per cohort	ERP117672; GSE302495	ERP117672 40 molecular samples; GSE302495 38; outcome-blind measurement	derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_RANDOM_REFERENCE_RESULTS.tsv | derived_data/publication_source_tables/AF35_PROGRAM_COHERENCE_RANDOM_REFERENCE_SUMMARY.tsv	65f49d870c44286b7d6a8b73834410809c30d5860abf8ce9d926009612c74a94 | aad826125eb67d4d01a572349b4c5141aa9dba39f7b568f5d58a121f07465ee5	scripts/frozen_originals/03_AF35_measurement/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py	498675b944866f11ea6432b45e059feffbb78ba670d4f1173f043518a91d941b	scripts/display/figure2/figure2.py	新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/FIGURE2_POST_REVIEW_REVISION_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	AF35 internal-structure metrics relative to 2,000 expression- and detection-matched random programs per cohort. Percentile location describes the reference distribution and is not a validation probability. Additional coherence and measurement-sensitivity analyses are provided in Supplementary Figs. S4–S5 and Supplementary Table S6.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 3	A	GSE235863 design and exact transcriptome/TCR linkage	GSE235863	GSE235863 58,872 exact-linked cells; expansion 9, persistence 7, later observation 7 patients	derived_data/publication_source_tables/S07_05.tsv | derived_data/publication_source_tables/S07_07.tsv | derived_data/publication_source_tables/GSE235863_CLONE_PATIENT_SUMMARIES.tsv	130951c1be77fca78f93c976c89e40c48e828df9a0a1a271f4bdfa5a1f276349 | 49a3ed3170a444911bb0d2167737de38c0af1765d7fff0bd9c6dccce751534f4 | 10d6e7f1887b98605eaf3e07dd44c565a6952ac995c6d0235e1d8ba4218c6ede	scripts/frozen_originals/04_clonotype/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/01_authority.py	6f05d1ba21b0e386bbb4ab9ecb2fd4cf9c9cb14801ba6150105dba9f7bb9c6de	scripts/display/figure3/figure4.py	新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	GSE235863 design and exact transcriptome/TCR linkage. All 58,872 released TCR-linked barcodes were recovered. Expansion used nine patients, within-tissue persistence seven patients, and baseline-to-later peripheral-blood observation seven paired patients.	DISPLAY_ONLY	Study/linkage schematic; quantitative counts supported by frozen summary tables. Unresolved decorative liver asset and full Figure 3 binaries excluded. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 3	B	The linked-cell atlas with 20 released T-cell states, AF35 and selected functional programs.	GSE235863	GSE235863 58,872 exact-linked cells; expansion 9, persistence 7, later observation 7 patients	derived_data/publication_source_tables/GSE235863_EXACT_LINKED_TCELL_ATLAS.tsv | derived_data/publication_source_tables/GSE235863_FROZEN_PROGRAM_CELL_SCORES.tsv | derived_data/publication_source_tables/GSE235863_STATE_PROGRAM_MATRIX.tsv | derived_data/publication_source_tables/AF35_STATE_FROZEN_SCORE_SUMMARY.tsv	4eb94938c55c6c8ab35978dd20efea360ab244f1eacf3a7030f4c3ced4a908b4 | ef5d173753ee01b1a9e1d4959ae48609234c086ad0414454f9c2ade545294bb1 | 8b20377e881843cf4fe737160311824957593a42fb1d978b311b01d4bffe4fe4 | 08ae2a51b6af1a38cafcb51b729418b4246cd5e94451d47e950fd9619f1590ab	See release/SCRIPT_ARCHIVE_INDEX.tsv; original producer not uniquely certified		scripts/display/figure3/figure4.py	新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	The linked-cell atlas with 20 released T-cell states, AF35 and selected functional programs.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility.
Figure 3	C	Equal-patient state fractions for singleton/expanded, nonpersistent/persistent and not-later-observed/later-observed contexts.	GSE235863	GSE235863 58,872 exact-linked cells; expansion 9, persistence 7, later observation 7 patients	derived_data/publication_source_tables/F3D_EQUAL_PATIENT_DISPLAY_VALUES.tsv	755df9fb6d80ea8ca9aba27296905d5f68b634b59a7609892feb5b7bfad7ae43	See release/SCRIPT_ARCHIVE_INDEX.tsv; original producer not uniquely certified		scripts/display/figure3/figure4.py	新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Equal-patient state fractions for singleton/expanded, nonpersistent/persistent and not-later-observed/later-observed contexts.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility.
Figure 3	D	Patient-level AF35 contrasts shown as unadjusted, same-support and state-adjusted estimates, with 10,000-draw patient-bootstrap percentile 95% intervals	GSE235863	GSE235863 58,872 exact-linked cells; expansion 9, persistence 7, later observation 7 patients	derived_data/publication_source_tables/S07_01.tsv | derived_data/publication_source_tables/S07_02.tsv | derived_data/publication_source_tables/S07_03.tsv | derived_data/publication_source_tables/S07_05.tsv | derived_data/publication_source_tables/S07_06.tsv | derived_data/publication_source_tables/S07_07.tsv | derived_data/publication_source_tables/S07_08.tsv	ab90a01e0c7538207e0c16c2b6d1fa999d09b58bd30cbcc79a8c71fa467b253d | 25c2030b269aa2f463a154b30977d31a951eb283a608b712bcd957806fc9ccb8 | 7d8859053a33087f118889655e7c0abb0669ea02df68a091d5ba6ee34f81f6bb | 130951c1be77fca78f93c976c89e40c48e828df9a0a1a271f4bdfa5a1f276349 | dcbd2fcfdc798409692c3b540d6fca589c81c38f4b8b841142dbeca5c5eb57e5 | 49a3ed3170a444911bb0d2167737de38c0af1765d7fff0bd9c6dccce751534f4 | 82ea2e907a3011c412dc46faf33defa32fb2e401e45414b8a10c98597492bbd6	scripts/frozen_originals/04_clonotype/GSE235863_CLONE_STATE_DECOMPOSITION_v1/authority/04_scripts/phase19/02_phase19a_patient_analysis.py | scripts/frozen_originals/04_clonotype/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/02_analyze.py | scripts/frozen_originals/04_clonotype/HCC_ICI_project/04_scripts/phase3/03_independent_scrna_sctcr_clone_state.R | scripts/frozen_originals/04_clonotype/HCC_ICI_project/04_scripts/phase_temporal/01_gse235863_baseline_future_clone_fate.R	6a3afb8038e2456767db6499a5f700d19dc8a9f6cc7d4d26bb4b36647f801ec1 | 740645425529abdf1ba0f18fdca5c4a16dbe214db8a74d04c95155e325cdb949 | 98fafffb52ad7e54093fa44ab0e53c9f7caa8135ca1de2a4345526e06b21cb7b | f907c81ed6c30de3da6811f450aea587dc23e8c37b7ed5f6febfe8397ba34af5	scripts/display/figure3/figure4.py	新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Patient-level AF35 contrasts shown as unadjusted, same-support and state-adjusted estimates, with 10,000-draw patient-bootstrap percentile 95% intervals. Unadjusted, same-support and adjusted intervals follow their analysis-specific definitions in Supplementary Methods S4. PTPN22 contrasts use the same eligible expansion, persistence and later-observation populations: expansion and persistence are mean patient-level contrasts, later observation is the median contrast, and units are Δlog1p(CP10K). Positive directions occurred in 9/9, 7/7 and 7/7 patients, respectively. The PTPN22 strip retains its original patient-bootstrap 95% intervals: means for expansion and persistence, and a median of patient-level clone-equal contrasts for later observation. These historical intervals are not substituted with the cell-weighted state-adjustment intervals. PTPN22 and AF35 are shown on distinct scales.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 3	E	Hierarchical patient-level AF35 decomposition in peripheral blood (R−NR; 4 R/3 NR): Overall=Occupancy+Within-state+Interaction, and Occupancy=Clone-equal+Clone-size	GSE235863	Peripheral blood 7 patients: 4 R/3 NR	derived_data/publication_source_tables/S08_02.tsv | derived_data/publication_source_tables/S08_03.tsv | derived_data/publication_source_tables/S08_07.tsv	2d00407477f63d73eadc62f6dce67826a6119dc48d9c9fa743ac9e382f641c2d | a8190957854cdd2a770937550f20429c8f0c61f481ae28762fb6c893acad8bd2 | 71e798e6fa4264552fc1373013537b01619d1b0d1397e4580a11bf3a63efba97	scripts/frozen_originals/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py | scripts/frozen_originals/06_clinical/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	50f887760f70592c0e67d8fa7a20621026d87284c2a451b40ffc6fb3006d1086 | 353732d8a4db64b59a42497a388b8fb754e3fb7ee193be99a3de2a366c0c93f2	scripts/display/figure3/figure4.py	新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Hierarchical patient-level AF35 decomposition in peripheral blood (R−NR; 4 R/3 NR): Overall=Occupancy+Within-state+Interaction, and Occupancy=Clone-equal+Clone-size. ΔO−ΔW is a separate contrast, not an additive component of Overall or a mediation estimate. Intervals are 10,000-draw response-stratified patient-bootstrap percentile intervals conditional on the fixed decomposition; decomposition coefficients are not re-estimated in each draw.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 3	F	Pretreatment AF35-weighted occupancy calculated from state occupancy and fixed state-specific AF35 coefficients using cell-weighted and clone-equal summaries.	GSE235863	Seven pretreatment peripheral-blood patients	derived_data/publication_source_tables/S08_05.tsv	07449042d7b9748aace8d9392aa0ebd36af3907c4237fbbfacde2981e55148a3	scripts/frozen_originals/06_clinical/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	353732d8a4db64b59a42497a388b8fb754e3fb7ee193be99a3de2a366c0c93f2	scripts/display/figure3/figure4.py	新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Pretreatment AF35-weighted occupancy calculated from state occupancy and fixed state-specific AF35 coefficients using cell-weighted and clone-equal summaries.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 3	G	Paired pretreatment-to-later AF35-weighted occupancy trajectories in seven patients.	GSE235863	Same seven paired pretreatment/later patients; 14 rows	derived_data/publication_source_tables/AF35_M2_PATIENT_TIMEPOINT_COMPONENTS_RESPONSE_BLIND.tsv	fcdfb7a75c6362dda8cdcc0200cba3dab71a176cbf179bbde74eeccd1f28015d	scripts/frozen_originals/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py	be7201f3ca738d5e3231aceb8a2d6d2d25cc79b9e2c96e67808f1956ba68f8a0	scripts/display/figure3/figure4.py	新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Paired pretreatment-to-later AF35-weighted occupancy trajectories in seven patients.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 3	H	R−NR contrasts for later-minus-pretreatment changes in cell-weighted, clone-equal, clone-size and shared-clone summaries	GSE235863	Seven paired patients: 4 R/3 NR	derived_data/publication_source_tables/S08_04.tsv	dbfe90e9344f3fe08f0e91f793edf2b51ca856cc3b7203829416f851fde6afd6	scripts/frozen_originals/06_clinical/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/06_phaseB_clinical.py	71ab5162966df802d8a38f0a4d5d78002bcaea7c31cfdc74f41bbb38c1bedf62	scripts/display/figure3/figure4.py	新绘图流程/FIGURE3_POST_REVIEW_TEXT_STRIPPED_V1/FIGURE3_POST_REVIEW_TEXT_STRIPPED_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	R−NR contrasts for later-minus-pretreatment changes in cell-weighted, clone-equal, clone-size and shared-clone summaries. Longitudinal intervals use 10,000 response-stratified patient-bootstrap draws of paired patient changes; all components share the resampled patient indices. AF35-weighted occupancy is a state-representation score rather than a cellular proportion. Patients are the biological replicates. Supporting linkage, sensitivity and decomposition results are provided in Supplementary Figs. S6–S8 and Supplementary Tables S7–S8.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 4	A	Conditional AF35 residual map from a Wu pretreatment section with H&E, tissue annotation, broad-immune score and unadjusted AF35	GSE238264; Wu Zenodo 19123188	GSE238264 7 patients (4 R/3 NR); Wu 11 (5 R/6 NR); CODEX subset 10 patients/17 regions	derived_data/publication_source_tables/WU_SELECTED_SAMPLE_ST_LAYERS_PLOT_READY.tsv	a24afb4223ea63b463e3f098baf81225fd082b5f734ef17c3e2c038929b553cd	See release/SCRIPT_ARCHIVE_INDEX.tsv; original producer not uniquely certified		scripts/display/figure4/build_atlas.py	新绘图流程/FIGURE4_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE4_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Conditional AF35 residual map from a Wu pretreatment section with H&E, tissue annotation, broad-immune score and unadjusted AF35. Conditional AF35 is the within-section residual after broad-immune and technical-coverage adjustment.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility.
Figure 4	B	Whole-field display of 14 CODEX identities and lymphoid-context enlargements of the two indicated ROIs, highlighting B, CD4 T and CD8 T cells while retaining other identities as positional context	GSE238264; Wu Zenodo 19123188	One selected Wu adjacent-section field; 34,002 coordinate cells; 14 identities	derived_data/publication_source_tables/F4B_COORDINATE_SOURCE_RECORD.tsv	5977f8725e93bc89bdd3ca4dd9d4e3295e2fcb06c2f096486374477170b96acb	See release/SCRIPT_ARCHIVE_INDEX.tsv; original producer not uniquely certified		scripts/display/figure4/build_atlas.py	新绘图流程/FIGURE4_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE4_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Whole-field display of 14 CODEX identities and lymphoid-context enlargements of the two indicated ROIs, highlighting B, CD4 T and CD8 T cells while retaining other identities as positional context. The 34,002-cell coordinate Voronoi display reconstructs released coordinates for visualization. The ST and CODEX data derive from registered adjacent sections; adjacency does not imply same-cell colocalization.	DISPLAY_ONLY	Released-coordinate visualization; public source record and exact local source hash documented. Original coordinates, H&E and figure binaries not redistributed. No same-cell colocalization claim.
Figure 4	C	Conditional AF35 maps and patient summaries for GSE238264 (4 R/3 NR) and Wu (5 R/6 NR)	GSE238264; Wu Zenodo 19123188	GSE238264 7 patients (4 R/3 NR); Wu 11 (5 R/6 NR); CODEX subset 10 patients/17 regions	derived_data/publication_source_tables/S09_01.tsv | derived_data/publication_source_tables/WU_SAVED_RESIDUAL_SPOTS_EXPORT.tsv | derived_data/publication_source_tables/F5C_GSE_FROZEN_RESIDUAL_SPOTS.tsv	073855766cf6ecd31ea61ba4726eb3f0cce55674f5d1028fcce0533605d9fcfc | addacb3ecc40a38dd88d13459425fbfd70a4c8d23ae24e25aa7db209d35cdb13 | 6fd203243b1f1d7e28a2fd753779b29ad60a2f005f0099e72f008ccb41b1faf4	scripts/frozen_originals/05_spatial/HCC_ICI_project/04_scripts/spatial_specificity_rescue/01_spatial_specificity_rescue.R	20e699316ab29b097b3cdfce78fac2a95bfe41c57946cbfb31dddc06308497f4	scripts/display/figure4/build_atlas.py	新绘图流程/FIGURE4_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE4_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Conditional AF35 maps and patient summaries for GSE238264 (4 R/3 NR) and Wu (5 R/6 NR). Moran I is global univariate autocorrelation of the conditional residual. Level denotes a cohort-specific unresidualized program measure and is not compared across cohorts on a common scale.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 4	D	Cohort mean Moran I and responder-minus-nonresponder difference	GSE238264; Wu Zenodo 19123188	GSE238264 7 patients (4 R/3 NR); Wu 11 (5 R/6 NR); CODEX subset 10 patients/17 regions	derived_data/publication_source_tables/S09_01.tsv | derived_data/publication_source_tables/F5D_SAVED_CONDITIONAL_RANDOM_DRAWS.tsv	073855766cf6ecd31ea61ba4726eb3f0cce55674f5d1028fcce0533605d9fcfc | 08bad178335205b9eb5098d5deeaf253a0b8d7f9ec0b617ebf5bf7ec7c307965	scripts/frozen_originals/05_spatial/HCC_ICI_project/04_scripts/spatial_specificity_rescue/01_spatial_specificity_rescue.R	20e699316ab29b097b3cdfce78fac2a95bfe41c57946cbfb31dddc06308497f4	scripts/display/figure4/build_atlas.py	新绘图流程/FIGURE4_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE4_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Cohort mean Moran I and responder-minus-nonresponder difference. Gray distributions show 500 matched random programs per cohort; the red marker denotes AF35. These program-reference distributions are distinct from patient-bootstrap confidence intervals and response-label permutation tests. GSE238264: +0.034 (95% CI −0.007 to +0.076; P=0.2286). Wu: +0.137 (+0.028 to +0.250; P=0.0433). CIs are patient-bootstrap intervals and P values are exact response-label permutation tests.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
Figure 4	E	Responder-minus-nonresponder difference in the patient-level neighboring-residual contrasts	GSE238264; Wu Zenodo 19123188	GSE238264 7 patients (4 R/3 NR); Wu 11 (5 R/6 NR); CODEX subset 10 patients/17 regions	derived_data/publication_source_tables/S09_02.tsv	a319291a428d21ad91a32f5502b37a06d9b721f33a5fec9405d11ff803d24f7c	scripts/frozen_originals/05_spatial/HCC_ICI_project/04_scripts/spatial_specificity_rescue/01_spatial_specificity_rescue.R	20e699316ab29b097b3cdfce78fac2a95bfe41c57946cbfb31dddc06308497f4	scripts/display/figure4/build_atlas.py	新绘图流程/FIGURE4_FINAL_TYPOGRAPHY_SPACING_V1/FIGURE4_FINAL_TYPOGRAPHY_SPACING_AUTHOR_REVIEW.pdf [provenance identifier; not redistributed]	Responder-minus-nonresponder difference in the patient-level neighboring-residual contrasts. Each patient contrast first compares immune-matched high- versus low-score neighborhoods; the displayed +0.030 (GSE238264) and +0.381 (Wu) then compare those contrasts between response groups. Intervals use response-stratified patient bootstrap and P values use exact response-label permutations. The two procedures need not yield identical threshold conclusions.	COMPLETE_SOURCE_TABLE_ONLY	Exact frozen table identities and manuscript-facing derivatives documented in FINAL_SOURCE_TABLE_BINDINGS.tsv. Unique original computational producer not certified; accepted source-table-only provenance, not executable reproducibility. Listed implementation is relevant archived analysis context; table-only status does not certify a unique production run.
