item	source_table_available	source_table_path	analysis_script_available	script_path	dataset	status	notes
Table S5 part 14	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_14.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 15	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_15.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S5 part 16	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S05_16.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 1 whole-tumor, perturbation and genetic estimates; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S6 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S06_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Complete AF35 measurement-stability results; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S6 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S06_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Complete AF35 measurement-stability results; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S6 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S06_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Complete AF35 measurement-stability results; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S6 part 4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S06_04.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Complete AF35 measurement-stability results; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S6 part 5	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S06_05.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Complete AF35 measurement-stability results; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S6 part 6	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S06_06.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Complete AF35 measurement-stability results; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S6 part 7	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S06_07.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 2H exact matched-random coherence summary; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S6 part 8	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S06_08.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 2H complete matched-program coherence metrics; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S7 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S07_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Exact-link eligibility and clone-context patient effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S7 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S07_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Exact-link eligibility and clone-context patient effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S7 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S07_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Exact-link eligibility and clone-context patient effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S7 part 4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S07_04.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Exact-link eligibility and clone-context patient effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S7 part 5	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S07_05.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Exact-link eligibility and clone-context patient effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S7 part 6	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S07_06.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Exact-link eligibility and clone-context patient effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S7 part 7	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S07_07.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Exact-link eligibility and clone-context patient effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S7 part 8	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S07_08.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Exact-link eligibility and clone-context patient effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S8 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S08_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	AF35 decomposition and weighted-occupancy definitions; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S8 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S08_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	AF35 decomposition and weighted-occupancy definitions; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S8 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S08_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	AF35 decomposition and weighted-occupancy definitions; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S8 part 4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S08_04.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	AF35 decomposition and weighted-occupancy definitions; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S8 part 5	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S08_05.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	AF35 decomposition and weighted-occupancy definitions; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S8 part 6	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S08_06.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	AF35 decomposition and weighted-occupancy definitions; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S8 part 7	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S08_07.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Seven-patient peripheral-blood clone-equal and clone-size decomposition; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S9 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S09_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Spatial cohort mapping and patient-level statistics; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S9 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S09_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Spatial cohort mapping and patient-level statistics; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S9 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S09_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Wu pretreatment source object and graph input audit; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S9 part 4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S09_04.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Wu single zero-count exclusion sensitivity by patient; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S9 part 5	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S09_05.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Wu single zero-count exclusion sensitivity cohort effect; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S10 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S10_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Adjacent-section CODEX mapping and native 19-code key; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S10 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S10_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Adjacent-section CODEX mapping and native 19-code key; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S10 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S10_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Adjacent-section CODEX mapping and native 19-code key; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S10 part 4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S10_04.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Adjacent-section CODEX mapping and native 19-code key; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S10 part 5	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S10_05.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Adjacent-section CODEX mapping and native 19-code key; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S10 part 6	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S10_06.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Adjacent-section CODEX mapping and native 19-code key; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Pretreatment clinical eligibility, endpoints and primary effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Pretreatment clinical eligibility, endpoints and primary effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Historical clinical effects with original intervals; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 4	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_04.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Historical clinical effects with original intervals; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 5	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_05.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Pretreatment clinical eligibility, endpoints and primary effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 6	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_06.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Pretreatment clinical eligibility, endpoints and primary effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 7	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_07.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Pretreatment clinical eligibility, endpoints and primary effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 8	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_08.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Pretreatment clinical eligibility, endpoints and primary effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 9	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_09.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Pretreatment clinical eligibility, endpoints and primary effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 10	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_10.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 5A current paired bootstrap primary effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 11	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_11.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 5H all 16 conditional Firth models; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 12	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_12.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Figure 5I all four TACE effects; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S11 part 13	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S11_13.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	GSE104580 patient score source; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S12 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S12_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Clinical ablation and dropout robustness; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S12 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S12_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Clinical ablation and dropout robustness; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S12 part 3	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S12_03.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Descriptive summaries extracted from existing ablation and dropout results; retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S13 part 1	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S13_01.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Matched-program eligibility and clinical reference results (unadjusted reference); retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
Table S13 part 2	YES_MANUSCRIPT_FACING_DERIVATIVE	derived_data/publication_source_tables/S13_02.tsv	NOT_UNIQUELY_CERTIFIED		See source table and data/SOURCE_DATA_MANIFEST.tsv	SOURCE_TABLE_ONLY	Matched-program eligibility and clinical reference results (unadjusted reference); retained values verified; identifiers removed/neutralized where needed; executable traceability not claimed
