source_artifact	category	action	reason
supplement/tables/S07_01.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S07_02.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S07_03.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S07_04.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S07_05.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S07_06.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S07_07.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S07_08.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S08_01.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S08_02.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S08_03.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S08_04.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S08_05.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S08_06.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S08_07.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S09_01.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S09_02.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S09_03.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S09_04.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S10_02.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S10_05.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S10_06.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S11_01.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S11_02.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S11_05.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S11_06.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S11_09.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S11_13.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S13_01.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S15_01.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S15_02.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S15_03.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S15_04.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S15_05.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
supplement/tables/S15_06.tsv	source_table	EXCLUDED	Individual-level identifiers, third-party detailed effects, redundant provenance, or nonessential large manifest; not admitted by aggregate-table allowlist
Figure 3A liver illustration and all composite main-figure exports	asset	EXCLUDED	Decorative asset provenance/license unresolved; no figure binary distributed
Original datasets and individual-level derived files	data_class	EXCLUDED	Third-party redistribution terms and individual-level mapping not cleared; use source accessions
Conversation logs; session JSONL; prompts; credentials; private correspondence; unrelated projects	private_class	EXCLUDED	Outside scientific public-repository scope; never copied
Historical complete staging package	archive	EXCLUDED	Contains duplicate historical scripts, raw path records and excluded figure composites; curated selection only
